[2022-06-13T14:57:39.325Z]	<Kerri_Lemoie> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2022Jun/0012.html
[2022-06-13T15:30:01.419Z]	<Transcriber>	Dmitri_Zagidulin: We strongly believe that we need to help students to move from education to work so we don't only create a record but we really create a full ecosystem in which we help students navigate to Career Pathways we tell them their probabilities of success towards getting a certain job earning certain amount of money we tell them which are there gaps and give them recommendations of courses so that they can improve their profiles and we connect them directly to jobs so we are all about the creating.
[2022-06-13T15:30:01.784Z]	<Transcriber>	Dmitri_Zagidulin:  Workforce connectivity ecosystem so we pulled.
[2022-06-13T15:30:28.212Z]	<Tim_Dutta_-_Entrustient>	present+
[2022-06-13T15:30:34.948Z]	<Transcriber>	Dmitri_Zagidulin: See sides and we create a full profile of what's required we map that back to the job market requirement we map that back to the learning experiences and finally create a full profile of the student that we store in the diva wallet which use that data to compare that to the requirements of employers we find gaps and then we will back and give a students recommendations of learning experiences to fill all those gaps and the same time we connect them directly to possible jobs that they can apply.
[2022-06-13T15:30:35.353Z]	<Transcriber>	Dmitri_Zagidulin:  so this is basically creating a full work first.
[2022-06-13T15:30:39.175Z]	<Transcriber>	Dmitri_Zagidulin: System now we will show you that them.
[2022-06-13T15:30:51.308Z]	<Jim_Goodell>	present+
[2022-06-13T15:31:11.055Z]	<Transcriber>	Dmitri_Zagidulin: So you're seeing our smart wallet as we getting into in our smart wallet the students can navigate to multiple career Pathways they consider opportunity fit we map all their credentials and micro certifications to the job market requirements they can see their progress towards getting the jobs that they want the multiple career Pathways they can pursue and they can also Explore Learning experiences and how that will improve their profiles towards getting the jobs that they want.
[2022-06-13T15:31:11.505Z]	<Transcriber>	Dmitri_Zagidulin:  now we will show you that the little wallet.
[2022-06-13T15:31:44.021Z]	<Transcriber>	Dmitri_Zagidulin: Curious where we store basically all the credentials of the student as you can see here we have the jff badges for the plugfest up in Bacchus troponin 0.0 so here we can see one of them it's already very fine we can see the achievement the name the description the criteria type the criteria narrative that image and the issue so we have all the data within our platform now we will show you.
[2022-06-13T15:32:15.385Z]	<Kerri_Lemoie>	Example badges provided here: https://w3c-ccg.github.io/vc-ed/plugfest-1-2022/
[2022-06-13T15:32:16.535Z]	<Transcriber>	Dmitri_Zagidulin: The credential or a batch here you can upload files URL or the Jason we will chosen the Json so that you can see that we are using what the FF provided we click save it tells us is a success now we can see the badge is not verified yet so as we click on the badge then we can verify it we use all the process with the key and the daad to Cho this verification as you can see nah.
[2022-06-13T15:32:16.800Z]	<Transcriber>	Dmitri_Zagidulin:  we can see all the data related to.
[2022-06-13T15:32:26.817Z]	<Transcriber>	Dmitri_Zagidulin: And even the logo of jmf as an issue so this is basically our demo thank you very much for your time today.
[2022-06-13T15:32:45.059Z]	<Kerri_Lemoie>	https://www.youtube.com/watch?v=Q-36cpmQflY
[2022-06-13T15:32:46.361Z]	<Transcriber>	Dmitri_Zagidulin: Tim and pasting a link to the various video the link on the slide goes to the site.
[2022-06-13T15:33:39.853Z]	<Transcriber>	Dmitri_Zagidulin: Digital Bazaar is pleased to contribute to the VC edu interoperability plugfest sponsored by jobs for the future our mission is to help build a web we can trust our software enables privacy-preserving digital identity for individuals and organizations we have been leaders in the web standards Community for over 15 years and have worked to encourage the adoption of decentralized identity standards by government and Industry Consortium.
[2022-06-13T15:33:40.187Z]	<Transcriber>	Dmitri_Zagidulin:  this plugfest is part of our commitment to true in.
[2022-06-13T15:34:10.725Z]	<Transcriber>	Dmitri_Zagidulin: Operability attracting customers by providing software solutions that work within the larger ecosystem not trying to lock those customers into proprietary Solutions the digital bizarre team has authored or edited many w3c standards track documents we'd like to highlight verifiable credentials decentralized identifiers and web KMS as Open Standards that directly support the digital wallet shown in this video thank you to the credentials community group for advancing.
[2022-06-13T15:34:10.977Z]	<Transcriber>	Dmitri_Zagidulin:  in this important.
[2022-06-13T15:34:43.835Z]	<Transcriber>	Dmitri_Zagidulin: Our product is the various wallet and interoperable digital wallet that can manage privacy preserving identity and verifiable credentials for a wide range of daily activities you can find more information at varus dot IO various wallet can support age verification government identity Finance supply chain and education applications including the verifiable job skills use cases pioneered by jmf and the open badge communities.
[2022-06-13T15:34:44.493Z]	<Transcriber>	Dmitri_Zagidulin: Interoperability means being able to.
[2022-06-13T15:35:18.460Z]	<Transcriber>	Dmitri_Zagidulin: Display verify and present a digital credential that communicates these different statements issued by anyone including individuals or organizations using competing products in this plugfest you'll see a demonstration of the various wallet display an open badge version 3 verifiable credential that communicates a job skill or achievement including multiple data elements specified in the open badge standard the user opens her verus wallet mobile app and authenticates.
[2022-06-13T15:35:18.812Z]	<Transcriber>	Dmitri_Zagidulin:  your digital wallet in the cloud the.
[2022-06-13T15:35:30.537Z]	<Transcriber>	Dmitri_Zagidulin: Mo issuer endpoint which issues a mock open badge version 3 verifiable credential the user inspects the credential and stores it in her digital wallet.
[2022-06-13T15:36:00.196Z]	<Transcriber>	Dmitri_Zagidulin: The open batch credential is now available in the wallet the user presses show details to inspect the credential it displays an issuer name and logo and achievement name description and criteria and a badge image in this case the example credential states that Jane Doe's wallet has passed the jff plugfest interoperability criteria congratulations.
[2022-06-13T15:36:10.781Z]	<Transcriber>	Kerri_Lemoie: I really like how that one ends to meet you do you mind showing at the slides again thank you very much for doing that.
[2022-06-13T15:36:11.783Z]	<Transcriber>	Dmitri_Zagidulin: Of course not.
[2022-06-13T15:36:20.520Z]	<Kerri_Lemoie>	videos: https://w3c-ccg.github.io/vc-ed/plugfest-1-2022/participants.html
[2022-06-13T15:36:25.774Z]	<Stuart_Freeman>	present+
[2022-06-13T15:36:43.273Z]	<Transcriber>	Kerri_Lemoie: Those are just three of the amazing videos we there are so many more so I'm going to put a link because you didn't grab the slides uses a link to all of the videos which I highly suggest take a few minutes to check them all they're all very short and you will learn about all of the work going on in our community and I think that's great the next slide please so I'd like to if I'm while I just go through these what I think.
[2022-06-13T15:36:44.032Z]	<Transcriber>	Kerri_Lemoie: Some of our achievements I was wondering if some of.
[2022-06-13T15:37:04.864Z]	<Evan_Lally_(>	q+
[2022-06-13T15:37:18.232Z]	<Transcriber>	Kerri_Lemoie: Riders make you themselves up just for a few questions I'm from us or also from anybody who's here to these are things that I thought really that we achieve some of the things so one we introduced VC wallet vendors to ensure Education data centers they were familiar with them they had really heard about them and there they were displaying them and but for the most part let us know that it wasn't so hard to do that which was great to hear and then we also introduce education Workforce platforms to verify.
[2022-06-13T15:37:18.724Z]	<Transcriber>	Kerri_Lemoie:  the credentials so that was a great exchange also we are.
[2022-06-13T15:37:49.640Z]	<Transcriber>	Kerri_Lemoie: Lessons about displaying education credentials and that we can tackle as part of the task force that we see AG task force we learned a lot about what onboarding resources are needed and we need a lot of ongoing resources and this the demos prompted questions about policy and timing we had a lot of folks who are watching the demos who are not technical who are you know determining policy and thinking about policy as some excellent questions and I don't know if I mentioned this before.
[2022-06-13T15:37:49.959Z]	<Transcriber>	Kerri_Lemoie:  or can't recall a bit.
[2022-06-13T15:38:20.727Z]	<Transcriber>	Kerri_Lemoie: You this was about a five hour long before our long like you know event and we had over I won't play about fifty four people on Zoom who stayed on for almost the whole time and which was really a really great and then also this I thought this was great as somebody who's been working and open badges for a long time this was the first time that open badges 3.0 were sort of issued but mostly displayed and and I just sort of want to reflect that.
[2022-06-13T15:38:21.296Z]	<Transcriber>	Kerri_Lemoie: Here you go.
[2022-06-13T15:38:36.950Z]	<Manu_Sporny>	Woo hoo! Huge strides in just 12 months!
[2022-06-13T15:38:53.498Z]	<Transcriber>	Kerri_Lemoie: That this task force decided to pursue doing this work of aligning education standards directly with the VC model prior to this we were talking about cell ER rapper model and this decision initiated two charters that IMS Global which is now wanted to Echo work I think for both open Badges and the sealer and also the open badges nclr decided to align their models to describe achievements and then on top of that we also.
[2022-06-13T15:38:53.794Z]	<Transcriber>	Kerri_Lemoie:  achieved having additional alignment with.
[2022-06-13T15:39:27.634Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:39:28.640Z]	<Transcriber>	Kerri_Lemoie: For the achievement type property so it's like three standards that were aligned as part of this work and even though the slugfest was a little bit early it's still you know was really sort of a great achievement and great to see this happen both open Badges and the CLR should be released as a candidate released by the end of this month so me for me personally anyway I just want to say this is a huge step forward and I want to thank open badges in the CLR working group members and of course this community for making.
[2022-06-13T15:39:29.311Z]	<Transcriber>	Kerri_Lemoie:  all of that happen.
[2022-06-13T15:39:29.450Z]	<Transcriber>	Kerri_Lemoie:  let me see if we have anybody in.
[2022-06-13T15:39:33.976Z]	<Phil_T3>	IMSGLOGAL now "1edtech.org"
[2022-06-13T15:39:35.167Z]	<Transcriber>	Kerri_Lemoie: Evan do you have the floor.
[2022-06-13T15:39:41.354Z]	<Kerri_Lemoie>	ack Evan_Lally_(
[2022-06-13T15:39:42.782Z]	<Transcriber>	Evan_Lally_(Digital_Bazaar): Oh sure I thought the key was for questions but I can provide some comments about our plugfest experience if you'd like.
[2022-06-13T15:39:46.705Z]	<Transcriber>	Evan_Lally_(Digital_Bazaar): Sure why don't you do that.
[2022-06-13T15:39:51.825Z]	<Transcriber>	Kerri_Lemoie: Why do you have a question for you to mostly the what did you think this plugfest achieved and what did what do you think you achieved as part of this.
[2022-06-13T15:40:20.406Z]	<Transcriber>	Evan_Lally_(Digital_Bazaar): Oh that's a great question that's going to be my comment to so good timely question you know the plugfest was a good first step I think you mentioned that it was kind of a Hello World displaying the credential you know is a nice first step toward interoperability but I think the main takeaway for us was how it was fairly straightforward to do because of the solid alignment with the standards that you mentioned on this slide so the fact that a open badge version 3 has a line with.
[2022-06-13T15:40:20.943Z]	<Transcriber>	Evan_Lally_(Digital_Bazaar): The other day.
[2022-06-13T15:40:51.722Z]	<Transcriber>	Evan_Lally_(Digital_Bazaar): Standards means that it's you know fairly straightforward to integrate this with the wallet that supports other types of credentials unrelated to skills or education and and that's very exciting to us the vision of a digital wallet that can handle lots of different types of credentials curated by the holder that can speak to really any aspect of their daily life I think is the reason that this group is so excited about working on this so I'm guessing the other companies feel this way too and we're glad that these standards are aligning to.
[2022-06-13T15:40:52.078Z]	<Transcriber>	Evan_Lally_(Digital_Bazaar):  to make a possible.
[2022-06-13T15:40:55.784Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:40:56.671Z]	<Transcriber>	Kerri_Lemoie: Excellent thank you Evan.
[2022-06-13T15:41:00.874Z]	<Transcriber>	Kerri_Lemoie: Dimitri you have the flu.
[2022-06-13T15:41:05.728Z]	<Transcriber>	Dmitri_Zagidulin: I think the other thing that the plugfest achieved is.
[2022-06-13T15:41:06.586Z]	<Kerri_Lemoie>	ack Dmitri_Zagidulin
[2022-06-13T15:41:12.809Z]	<Transcriber>	Dmitri_Zagidulin: Is the Sun and we're going to talk about this I just a bit but I want to highlight it.
[2022-06-13T15:41:21.908Z]	<Kerri_Lemoie>	s/flu/floor
[2022-06-13T15:41:26.288Z]	<Marty_Reed>	q+
[2022-06-13T15:41:28.826Z]	<Transcriber>	Dmitri_Zagidulin: It started the process of setup and planning for the next enter up fast specifically it made a lot of development teams start thinking about and start planning.
[2022-06-13T15:41:37.219Z]	<Evan_Lally_(>	+1 dmitri
[2022-06-13T15:41:54.066Z]	<Transcriber>	Dmitri_Zagidulin: The specifics of okay so right now we're just displaying and getting credentials into the wall it somehow but from the next one we're going to have to pick some protocols some issuing protocols and some verification protocols and we're going to pick which did methods we support and which cryptography sweets we're going to use with those dead methods so.
[2022-06-13T15:42:01.290Z]	<Transcriber>	Dmitri_Zagidulin: It made a lot of dive teams open up a lot of specs and documentation and start planning.
[2022-06-13T15:42:04.178Z]	<Transcriber>	Dmitri_Zagidulin: That was important.
[2022-06-13T15:42:04.858Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:42:06.043Z]	<Manu_Sporny>	+1 dmitri
[2022-06-13T15:42:07.906Z]	<Transcriber>	Kerri_Lemoie: Exactly thank you Marty.
[2022-06-13T15:42:12.440Z]	<Kerri_Lemoie>	ack Marty_Reed
[2022-06-13T15:42:19.386Z]	<Transcriber>	Kerri_Lemoie: You might we can't hear you.
[2022-06-13T15:42:27.408Z]	<Transcriber>	Marty_Reed: How about now.
[2022-06-13T15:42:28.878Z]	<Transcriber>	Kerri_Lemoie: Yes thank you.
[2022-06-13T15:42:57.046Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:42:59.033Z]	<Transcriber>	Marty_Reed: Perfect right so I just want to commend the team that put this plugfest together because I felt like it was from the plugfest that we've been a part of over the past few years it was I feel like one of the most productive approaches to to a plugfest and so just kudos to you Kerry Dimitri Sharon like really really amazing.
[2022-06-13T15:42:59.332Z]	<Transcriber>	Marty_Reed:  work and I'm excited.
[2022-06-13T15:43:12.766Z]	<Evan_Lally_(>	+1 to marty, too.  very impressed with the level of participation
[2022-06-13T15:43:13.216Z]	<Taylor_(LEF)>	+1000
[2022-06-13T15:43:15.030Z]	<Phil_T3>	+1 to Marty's comment!
[2022-06-13T15:43:16.016Z]	<Transcriber>	Marty_Reed: Out the next the next the next version of this and I've actually been sharing this model with others that are that are talking about plugfest because of what I feel it was a great success so just well done.
[2022-06-13T15:43:19.887Z]	<Transcriber>	Kerri_Lemoie: Thanks Mommy that's great.
[2022-06-13T15:43:38.415Z]	<Manu_Sporny>	+1 to what Marty said and JFF and the Chairs and Sharon!
[2022-06-13T15:43:39.819Z]	<Phil_T3>	s/Mommy/Marty/
[2022-06-13T15:43:43.751Z]	<Transcriber>	Kerri_Lemoie: Share that and you know I'm just going to say again that Sharon really is has been Visionary for all of this and you know we've mostly who have been supporting her through this and actually said I'm going to hand this over to you to say a little bit about that and also talk about the roadmap for what we're planning next and we'll leave the cue open if anybody else has questions.
[2022-06-13T15:43:47.595Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:44:15.025Z]	<Transcriber>	Sharon_Leu: Thanks Carrie and I guess I'll say one thing is I and I said this last Monday but I'll say it again I actually severely underestimated the amount of interest that there would be in this activity initially when we had chatted about it we thought oh it would be no problem to bring just a few people to New Orleans there's already Hotel space that we don't have to pay extra for and it would be great opportunity to work together I didn't anticipate.
[2022-06-13T15:44:15.311Z]	<Transcriber>	Sharon_Leu:  eight that so many people would be interested in this.
[2022-06-13T15:44:46.145Z]	<Transcriber>	Sharon_Leu: I think that as the development of this continued I think that I quickly realized why people were interested so I was like most encouraged by that and as we're thinking about this roadmap one of the things so so sorry I forgot to say so I apologize and really thank all of you who stayed on the line during the zoom I realized that there were some logistical challenges with audio in and video and that was because we had not prior.
[2022-06-13T15:44:46.460Z]	<Transcriber>	Sharon_Leu:  rehearse that prior.
[2022-06-13T15:45:17.342Z]	<Transcriber>	Sharon_Leu: And so the challenges of a hybrid in person are just the way that they are and we should have known better by now because we were all locked in our houses for two years but anyhow thank you for sticking with us during like I guess some of the very choppiness especially in the beginning so moving forward we are going to have a conversation about what is the best way to work on this and work all together and we have been floating a number of ideas and.
[2022-06-13T15:45:17.750Z]	<Transcriber>	Sharon_Leu:  I think they'll tend.
[2022-06-13T15:45:48.613Z]	<Transcriber>	Sharon_Leu: In all in person or all virtual but like I said open to your input on that so that's like one thing that we're like talking about as far as plugfest to the second is on our roadmap actually we had thought that the next logical step in the progression of this was to start having conversations about issuing verifiable credentials so in this plugfest you know I'm glad Marty you enjoyed it in the end because I.
[2022-06-13T15:45:48.901Z]	<Transcriber>	Sharon_Leu:  is concerned you thought it.
[2022-06-13T15:46:19.768Z]	<Transcriber>	Sharon_Leu: Too easy when you call it hello world but the next time we want to actually start having conversations about what does it look like to issue a credentials not to your own wallet and to someone else's wallet or for your wallet to accept verifiable credentials issued by other wallets and there are some I think more difficult questions that we're going to have to answer and so I think that was in our minds the next logical progression however.
[2022-06-13T15:46:20.150Z]	<Transcriber>	Sharon_Leu:  we did he.
[2022-06-13T15:46:29.478Z]	<Transcriber>	Sharon_Leu: Some feedback that perhaps going towards verifiers might be the right way to go and I'm a little bit curious what this group thinks.
[2022-06-13T15:46:29.665Z]	<DavidC>	q+
[2022-06-13T15:46:36.420Z]	<Evan_Lally_(>	q+
[2022-06-13T15:46:37.674Z]	<Transcriber>	Kerri_Lemoie: I David see you have the floor.
[2022-06-13T15:46:43.964Z]	<Kerri_Lemoie>	ack DavidC
[2022-06-13T15:47:00.961Z]	<Kerri_Lemoie>	(next slide just demonstrates this discussion)
[2022-06-13T15:47:06.115Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:47:11.243Z]	<Transcriber>	Kerri_Lemoie: Thank you David Evan.
[2022-06-13T15:47:14.354Z]	<Kerri_Lemoie>	ack Evan_Lally_(
[2022-06-13T15:47:39.184Z]	<Nate_Otto_(he/him)>	q+ to endorse protocol for issuer-to-wallet credential transmission for plugfest 2
[2022-06-13T15:47:43.264Z]	<Transcriber>	Evan_Lally_(Digital_Bazaar): Yeah we had assumed that those protocols were baked into the did methods discussion just as part of the Practical you know how we get from here to there so I think the communication of the verifiable credential from the issuer to the wallet is going to be an important discussion for plugfest to as is the did methods that we use and we heard I think in one of the previous meetings that there might be some overlapping Solutions so certainly different folks are going to present different did methods for.
[2022-06-13T15:48:14.725Z]	<Transcriber>	Evan_Lally_(Digital_Bazaar): And it's in the same with issue and we are working on a tool which we should be able to release to the group next week that uses one of the issuance and communication protocols the credential Handler API that would allow folks to basically have a Sandbox and open sandbox that they can use to push credentials into their wallet with the credential Handler API so I can I can drop a link in the chat to the w3c standards track stuff related to chappie if anyone's interested.
[2022-06-13T15:48:15.022Z]	<Transcriber>	Evan_Lally_(Digital_Bazaar):  did and then when that too.
[2022-06-13T15:48:17.977Z]	<Manu_Sporny>	q+ to note that order might not be wrong -- looking at what was demoed and how DHS SVIP worked.
[2022-06-13T15:48:18.765Z]	<Transcriber>	Evan_Lally_(Digital_Bazaar): Is available will let the group know.
[2022-06-13T15:48:19.098Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:48:25.602Z]	<Transcriber>	Kerri_Lemoie: Thank you Evan I'll need your the floor.
[2022-06-13T15:48:30.146Z]	<Kerri_Lemoie>	ack Nate_Otto_(he/him)
[2022-06-13T15:48:33.561Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:48:56.072Z]	<Transcriber>	Nate_Otto_(he/him): Oh thanks I plus 1 the idea of talking about protocols and just helping this journey of credential from its issuer to the wallet that's a really important phase and then of course you protocols that support the Journey of from the wallet to the verifier one word can be a further exploration phase I'd also like to promote maybe the idea that we talked about the place to trust Registries have within this market and.
[2022-06-13T15:48:56.285Z]	<Transcriber>	Nate_Otto_(he/him):  explore whether there is.
[2022-06-13T15:49:03.267Z]	<Kerri_Lemoie>	+1 to discussing trust registries
[2022-06-13T15:49:16.000Z]	<Transcriber>	Nate_Otto_(he/him): The best option that would help the market sort of get essential capabilities around understanding which issuers should be trusted to issue which credentials by which verifiers I'm at some point in our long interoperability Journey.
[2022-06-13T15:49:18.343Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:49:27.522Z]	<Phil_T3>	Q+
[2022-06-13T15:49:29.517Z]	<Transcriber>	Kerri_Lemoie: She's definitely something we all need to be talking about very soon so it's an interesting idea do as part of this money Mario you have the floor.
[2022-06-13T15:49:33.830Z]	<Kerri_Lemoie>	ack Manu_Sporny
[2022-06-13T15:49:57.611Z]	<Transcriber>	Manu_Sporny: Yeah plus 12 needs comment on trust Registries it keeps coming up across various different Industries not just like education but it's come up on the citizen identity you know stuff that DHS is doing it's coming up in you know retail and in there's some Simple Solutions out there but I don't think we've really had a chance to dive into those deeply so plus 1/2 that the reason.
[2022-06-13T15:49:57.869Z]	<Transcriber>	Manu_Sporny:  I put myself on the Q was was.
[2022-06-13T15:50:28.816Z]	<Transcriber>	Manu_Sporny: To note two things in the prior DHS s VIP plugfest we had used chappy the credential Handler API to demonstrate cross vendor issuance in presentation that was two years ago in the the updates that Evans mentioning extend chappie to Native wallets as well so later on this.
[2022-06-13T15:50:29.049Z]	<Transcriber>	Manu_Sporny:  weak as.
[2022-06-13T15:50:59.863Z]	<Transcriber>	Manu_Sporny: And we'll be releasing a bunch of documentation on upgrades to chappie that get it to work with Native apps on mobile devices native apps on the desktop while also supporting web-based issuance web-based verification so it's kind of an all-in-one solution to doing all of that as well as you know working with browsers that have typically had struggled a bit with.
[2022-06-13T15:51:00.125Z]	<Transcriber>	Manu_Sporny:  happy like.
[2022-06-13T15:51:31.010Z]	<Transcriber>	Manu_Sporny: And iOS Safari we've got some new updates and fixes for that as well we found that to be the easiest way to do integration at least from an interoperability perspective and it supports post both issuance and verification as well as you know some other higher order Concepts like revocation and credential refresh and things of that nature using these Capi so.
[2022-06-13T15:51:31.240Z]	<Transcriber>	Manu_Sporny:  I don't know.
[2022-06-13T15:51:34.529Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:52:03.896Z]	<Transcriber>	Manu_Sporny: I quite agree with David's assertion that we should do verification first because they you've got to do all of it right and whether you're doing issuance or whether you're doing patient in chappies really it's not that different from from each other so all that to say you know looking at the demos what people actually showed I noticed quite a bit of like issuance and.
[2022-06-13T15:52:04.197Z]	<Transcriber>	Manu_Sporny:  Tatian already happening.
[2022-06-13T15:52:37.364Z]	<Transcriber>	Manu_Sporny: Like if you look at some of these things these these Solutions they're already using protocols to do into verification so I think really the conversation is around okay how many of these are using which protocol to do issuance and how many of these are using which protocol do verification and how quickly can we get those protocols integrated with the applications that don't do those things currently so so we are as Evan.
[2022-06-13T15:52:37.673Z]	<Transcriber>	Manu_Sporny:  mentioned we are absolutely planning to provide.
[2022-06-13T15:52:49.056Z]	<oliver>	q+ tech meeting for implementers to speak about protocols
[2022-06-13T15:52:54.262Z]	<Transcriber>	Manu_Sporny: For dff bugs s specifically around chappie on presentation issuance you know over chapter native apps and web based apps that's it.
[2022-06-13T15:52:55.781Z]	<Transcriber>	Kerri_Lemoie: Thank you honey Dimitri.
[2022-06-13T15:53:10.033Z]	<Transcriber>	Dmitri_Zagidulin: I want a plus one to the comments that Nate and mono gave about about two things one is that.
[2022-06-13T15:53:21.074Z]	<Transcriber>	Dmitri_Zagidulin: Certain ways it's doesn't matter which we do first because we're definitely going to get to both we're going to get to plug fasts that Temple test both issuance and interop.
[2022-06-13T15:53:52.003Z]	<Transcriber>	Dmitri_Zagidulin: Having said that I do think personally that of the to issuance is the more important one because it's the higher risk because verifying is much easier but it is to issuing I think as a community we're fairly comfortable that the various verification libraries or Standalone Service is like the universal verifier will be able to handle pretty much everything whereas there's still very much held breath.
[2022-06-13T15:53:52.346Z]	<Transcriber>	Dmitri_Zagidulin:  an edge of the seat.
[2022-06-13T15:54:04.397Z]	<Manu_Sporny>	q+ to ask what place the VC API has in this (which does issuance and verification w/o getting into wallet protocols)
[2022-06-13T15:54:13.316Z]	<DavidC>	q+
[2022-06-13T15:54:13.591Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:54:13.841Z]	<Transcriber>	Dmitri_Zagidulin: Expectation to see which issuing protocols will be supported and really will wallets be able to sorry will issuers be able to issue to multiple wallets because that's the key that's what we win or lose by okay that's it.
[2022-06-13T15:54:15.320Z]	<Transcriber>	Kerri_Lemoie: Thank you Dimitri.
[2022-06-13T15:54:21.723Z]	<Oliver_Terbu_(Spruce)>	q?
[2022-06-13T15:54:31.341Z]	<Transcriber>	Kerri_Lemoie: And here you if I and you're speaking right now Philadelphia.
[2022-06-13T15:54:42.303Z]	<Transcriber>	Kerri_Lemoie: Okay we can come back to fill because we're running low on time Oliver.
[2022-06-13T15:54:42.757Z]	<Manu_Sporny>	s/Philadelphia/Phil/
[2022-06-13T15:54:51.951Z]	<Kerri_Lemoie>	ack oliver
[2022-06-13T15:55:00.731Z]	<Dmitri_Zagidulin>	+1 to technical meeting!
[2022-06-13T15:55:30.118Z]	<Transcriber>	Kerri_Lemoie: Yeah thank you we are we will definitely be having more discussions about this money you have the floor.
[2022-06-13T15:55:32.361Z]	<Kerri_Lemoie>	ack Manu_Sporny,
[2022-06-13T15:55:41.219Z]	<Dmitri_Zagidulin>	in terms of protocols, what I personally suspect is going to happen is -- we have three+ broad groupings of protocols. 1) VC-API / CHAPI, 2) OpenID Connect family of protocols, and 3) WACI-DIDComm
[2022-06-13T15:55:58.606Z]	<Transcriber>	Manu_Sporny: Yeah it's more of a question so we're trying to figure out I think one of the big things we all want to get to is like okay what are the protocols that these wallets are going to use to move things around that can be a much bigger step than issuance and verification on their own so for example you know the verifiable credential API has very straightforward apis for issuance and verification in we can.
[2022-06-13T15:55:58.957Z]	<Transcriber>	Manu_Sporny:  you know.
[2022-06-13T15:56:03.473Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:56:08.389Z]	<Kerri_Lemoie>	ack Manu_Sporny
[2022-06-13T15:56:31.164Z]	<Transcriber>	Manu_Sporny: Issuance and verification using just the VC API now that doesn't get us all the way to wallet protocols doing issuance and verification but it does get us to kind of a fundamental Next Step which is Can you issue in verified by a bunch of different arbitrary you know HTTP endpoint so I was wondering if the if what what that level of interoperability played in The Jeff plugfest.
[2022-06-13T15:56:31.502Z]	<Transcriber>	Manu_Sporny:  test if any you know.
[2022-06-13T15:56:47.436Z]	<Transcriber>	Manu_Sporny: Like proving issuance and verification at a more lower-level meet some goals versus trying to like shoot for the moon and get wallet protocols issuing in verifying.
[2022-06-13T15:56:52.995Z]	<Kayode_Ezike>	Lately, I’ve been getting the sense that there needs to be a standard mechanism (e.g., config/disco doc) for issuers to specify supported protocols. Wallets can then use this to determine what to do. I fear this may be adding a standard of standards, but just putting it out there.
[2022-06-13T15:57:02.841Z]	<Transcriber>	Kerri_Lemoie: There's a good question Monument I think we should keep that question open for now so I don't think we're quite sure it's a good one to ask before we go to David and try Phil again see if he can join us.
[2022-06-13T15:57:04.093Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:57:12.587Z]	<Transcriber>	Kerri_Lemoie: Say so we still can't hear you.
[2022-06-13T15:57:25.216Z]	<Transcriber>	Kerri_Lemoie: I'm sorry David why don't you go ahead and then I'm David and then maybe fill we can try one more time and then we're going to close it.
[2022-06-13T15:57:26.578Z]	<Kerri_Lemoie>	ack DavidC
[2022-06-13T15:57:42.096Z]	<Dmitri_Zagidulin>	less done, and more - easier to do. (verification)
[2022-06-13T15:57:54.620Z]	<Phil_T3>	present+
[2022-06-13T15:58:08.335Z]	<Transcriber>	Kerri_Lemoie: Thank you David okay Phil no more time to hear you.
[2022-06-13T15:58:09.259Z]	<Kerri_Lemoie>	ack Phil_T3
[2022-06-13T15:58:12.181Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:58:24.043Z]	<Dmitri_Zagidulin>	the other thought about verification is -- nearly all the participants in the 1st plugfest already implemented and displayed verification.
[2022-06-13T15:58:27.880Z]	<Tim_Dutta_-_Entrustient>	Are there any next steps on who will be proceeding to PlugFest 2
[2022-06-13T15:58:46.730Z]	<Transcriber>	Kerri_Lemoie: I feel we can't hear you maybe you can keep trying to get your son together we're just going to move to the last slide please we can just talk about what does happen next steps to meet you could you move to slide 13 for me and also I would like to encourage everyone to have these conversations on the mailing list on the VC edu mailing list so we can keep these going and we will schedule times for us to me.
[2022-06-13T15:58:47.142Z]	<Transcriber>	Kerri_Lemoie:  eat and have these discussions but we could start.
[2022-06-13T15:58:52.855Z]	<Sharon_Leu>	@Tim, anyone who successfully displayed the obv3 badge in their vc wallet
[2022-06-13T15:58:58.468Z]	<Transcriber>	Kerri_Lemoie: There and have a pretty robust discussion on the mailing list I think as we've seen before and I'm sorry too much ego one slide back the second to light second to last slide please.
[2022-06-13T15:59:29.419Z]	<Dmitri_Zagidulin>	@Kayode: good points (re discovering supported protocols). I think if all else fails, each protocol has their own discovery mechanisms. so a wallet could check each protocol's mechanism - oidc, vc-api, didcomm
