[2019-07-30T15:54:39.000Z]	<kimhd> Agenda: https://lists.w3.org/Archives/Public/public-credentials/2019Jul/0074.html
[2019-07-30T16:53:15.795Z]	<JoeAndrieu>	q?
[2019-07-30T16:53:18.479Z]	<JoeAndrieu>	ack ken
[2019-07-30T16:54:14.277Z]	<rhiaro>	ken: I wanted to talk abot the interop issue. To verify the formats for signature styles that are not native, eg. sovrin doesn't use jwts natively but we should be able to recognise it. And using the types so interop becomes more universal. That's all going on in Aries right now. Beginning stages are happening, nowhere near beinga ble to issue a different type of credential
[2019-07-30T16:54:22.015Z]	<rhiaro>	JoeAndrieu: how do you see us being able to work with the work at Aries?
[2019-07-30T16:55:04.114Z]	<JoeAndrieu>	q?
[2019-07-30T16:55:04.965Z]	<rhiaro>	ken: the main focus is to first establish interop between various issuers of credentials, also focus on universal wallet standards to be able to collect and stores those types of credentials. Part of that project is the separation out of things specific to hyperledger indy or sovrin to a layer below so other ledgers can plug in and operate with the higher level layers that operate with the storage of credentials
[2019-07-30T16:55:25.135Z]	<rhiaro>	... This community can be helpful in provding input and contributing signature styles and interop of their own favourite flavour so we can coalesce some of those things
[2019-07-30T16:56:04.397Z]	<JoeAndrieu>	q?
[2019-07-30T16:56:05.320Z]	<rhiaro>	Sam: SOmething that came up at the solid workshop was vcards and I was thinkign dmitriz could speak to it better, but it seems like a verifiable vcard you could share would be a really cool first use case before a wallet because that would be something that touches human and would be a clear data shape based off what's already there
[2019-07-30T16:56:07.445Z]	<JoeAndrieu>	ack manu
[2019-07-30T16:56:30.422Z]	<rhiaro>	manu: Should we do this again next week? Many ideas. But with a focus on hearing from people we don't normally hear from
[2019-07-30T16:56:38.536Z]	<heathervescent>	A++ maybe do a survey? ;-)
[2019-07-30T16:56:42.847Z]	<rhiaro>	... I'd really like to hear from the people we don't hear from on a regular basis. Maybe some of the newer people, just to get some more input
[2019-07-30T16:56:52.437Z]	<heathervescent>	Also, we did ask a similar question on the EOD survey
[2019-07-30T16:57:07.336Z]	<heathervescent>	So we can take those as one data points moving forward
[2019-07-30T16:57:10.915Z]	<rhiaro>	... heather is saying maybe do a survey. In some cases it's really difficult for people new to speak up. It can be intimidating. That's where written communication is good. Maybe through the mailing list. But on the call one of the things we need to do better is make space for other people to talk on here
[2019-07-30T16:57:25.136Z]	<rhiaro>	... We shouldnt' be picky about how we gather the data. Hit us with a flood of info and we can sort it out
[2019-07-30T16:57:27.438Z]	<JoeAndrieu>	+1 to more voices and a future call
[2019-07-30T16:57:32.463Z]	<heathervescent>	Q: who is taking lead/point person for this?
[2019-07-30T16:57:40.634Z]	<rhiaro>	... I'm going to run down a list pretty quicky, I sent it to the mailing list
[2019-07-30T16:57:51.967Z]	<heathervescent>	Capital One data breach, yay!
[2019-07-30T16:58:28.242Z]	<rhiaro>	... Today there was another massive data breach, people lost their PII for the fifitieth time. THere is a quesiton around data portability. We're going to store these VCs and our health records somewhere. How do we make sure it's ours and not locked into another vendor? The secure data hubs, identiy hubs work, hyperledger aries is very imporant, but focussing encrypted data portability is something we have in common
[2019-07-30T16:58:33.021Z]	<rhiaro>	... And +1 the interop problem that we have
[2019-07-30T16:58:47.397Z]	<rhiaro>	... We're all implementing to the standard but we're still not interoperable with one another. Includes wallet issuer, verifier, DID interop
[2019-07-30T16:58:51.896Z]	<rhiaro>	... Takes constant tending to make sure that works
[2019-07-30T16:59:11.835Z]	<rhiaro>	... Also +1 for how we get VCs from point A to point B. There is a credentail handler API around for a while, does achieve some things, but clearly other things it doens't like data minimization
[2019-07-30T16:59:22.595Z]	<rhiaro>	... Linked data proofs and signatures stuff is hard thankless work but does needs to be done
[2019-07-30T16:59:31.296Z]	<rhiaro>	... The formatily of the digital signatures andc ryotpgraphic proofs, we need to work on that
[2019-07-30T16:59:38.777Z]	<rhiaro>	... There is VC 1.1 and extensions, we're not done with VCs
[2019-07-30T16:59:44.395Z]	<drummond>	Just to make sure Sumita gets her answer RE Idemia: there have been many months of discussions within the driver license industry about the arrival of open standard verifiable credentials and SSI architecture. Idemia has not been in favor of adopting it but hopefully that will change. IBM has been very involved in these discussions along with Evernym and others.
[2019-07-30T16:59:44.856Z]	<rhiaro>	... We need to help people get it out in industry
[2019-07-30T16:59:48.276Z]	<rhiaro>	... Then of course the registries work
[2019-07-30T16:59:56.801Z]	<rhiaro>	... All that's technical work. There's also nontechnical work we need to do
[2019-07-30T17:00:04.103Z]	<dlongley>	+1 to focusing on common APIs, backend agent communication and Credential Handler API for user interaction via Web browser, DKMS for backend key management, Web KMS for Web apps, +1 for common VC/VP query formats
[2019-07-30T17:00:22.096Z]	<rhiaro>	... Nonviolent communication discussion recently. There cotinues to be friction between various communities and people and we should attempt to tend to that on a continuing basis
[2019-07-30T17:00:35.035Z]	<rhiaro>	... The other thing is field work. There have been concerns we are coming up with use cases without contact with the problem
[2019-07-30T17:00:48.843Z]	<rhiaro>	... If we're going to work on refugee or online bullying use cases we should go and working with people who work with that on a week to week basis
[2019-07-30T17:01:12.462Z]	<rhiaro>	... We do have a communication problem. it's really easy for us to discuss these things in this group but it is drinking from a massive firehose to join the group and we need to get better at communicating our ideas
[2019-07-30T17:01:36.133Z]	<rhiaro>	... RWOT and IIW help to some extent, but a well written one pager about DIDs or VCs or secure data hubs, would help us go out and talk to other people about it or empower other people to talk about the work we're doing here
[2019-07-30T17:01:41.458Z]	<JoeAndrieu>	q?
[2019-07-30T17:01:42.786Z]	<rhiaro>	... I'd really like during the next call to hear from people we don' thear from that often
[2019-07-30T17:01:50.096Z]	<JoeAndrieu>	ack drummond
[2019-07-30T17:02:34.221Z]	<rhiaro>	drummond: there have been a lot of discussions there, they (?who?) have not been interested to embrace SSI or VCs, they've been promoting a different standard, an ISO standard. It's something that iBM has been more involved with than anyone I know
[2019-07-30T17:02:36.546Z]	<JoeAndrieu>	q?
[2019-07-30T17:02:43.356Z]	<rhiaro>	JoeAndrieu: Sorry it went over, let's wrap
[2019-07-30T17:02:51.177Z]	<rhiaro>	... We will revisit this in a future week
[2019-07-30T17:03:00.178Z]	<rhiaro>	... Echo manu's interest in getting more folks to chime in
[2019-07-30T17:03:07.400Z]	<dlongley>	s/(\?who\?)/Idemia/
[2019-07-30T17:03:22.221Z]	<manu>	voip: connections?
[2019-07-30T17:03:30.805Z]	<manu>	voip: disconnect 60e
[2019-07-30T17:03:35.805Z]	<manu>	voip: disconnect 706
[2019-07-30T17:03:37.143Z]	<manu>	voip: disconnect 709
[2019-07-30T17:03:40.042Z]	<manu>	voip: disconnect 70a
[2019-07-30T17:03:42.089Z]	<manu>	voip: disconnect 711
[2019-07-30T17:03:43.506Z]	<manu>	voip: disconnect 713
[2019-07-30T17:03:45.544Z]	<manu>	voip: disconnect 71f
[2019-07-30T17:03:47.173Z]	<manu>	voip: disconnect 722
[2019-07-30T17:03:51.818Z]	<manu>	voip: disconnect 728
[2019-07-30T17:03:57.188Z]	<manu>	voip: connections?
[2019-07-30T17:04:01.504Z]	<manu>	voip: disconnect 60e
[2019-07-30T17:04:37.123Z]	<manu>	voip: self-destruct
