[Tue 11:03:01] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Feb/0018.html
[Tue 11:56:59] <ShaneM>	(personally) Just because there are political impediments to doing something doesn't mean we should not try.
[Tue 11:57:01] *	dlongley yes please, and sorry!
[Tue 11:57:34] <CarlaCasilli>	bleak!
[Tue 11:57:35] <dlongley>	ShaneM: ShaneM tells a story about flies.
[Tue 11:57:39] <victoriano>	EDU (from my point of view Unis and govermental bodies issuing credentials like degrees)
[Tue 11:57:50] <burn>	q+
[Tue 11:57:50] <voip-vctf>	burn has been added to the queue: burn
[Tue 11:57:59] <victoriano>	at this moment are happy using "off line" transports
[Tue 11:58:00] <phofmanntsy>	q+
[Tue 11:58:00] <voip-vctf>	phofmanntsy has been added to the queue: burn, phofmanntsy
[Tue 11:58:03] <manu>	q+ to explain the benefit.
[Tue 11:58:03] <voip-vctf>	manu has been added to the queue: burn, phofmanntsy, manu
[Tue 11:58:10] <JohnTib>	q+
[Tue 11:58:11] <voip-vctf>	JohnTib has been added to the queue: burn, phofmanntsy, manu, JohnTib
[Tue 11:58:14] <victoriano>	for that I mean not in the browser
[Tue 11:58:16] *	Colleen has quit ("Page closed")
[Tue 11:58:17] <dlongley>	ShaneM: I don't know what benefit we'll get out of defining a format without a protocol. It's like defining a header file with no implementation.
[Tue 11:58:36] <victoriano>	as much I would like to have a browser API, if that is a problem, we woudl be happy with a datamodel
[Tue 11:58:51] <victoriano>	we can use other protocols
[Tue 11:58:52] <victoriano>	EOT
[Tue 11:58:58] *	manu thanks victoriano 
[Tue 12:00:05] <voip-vctf>	jasonweaver [SIP/sip2sip.info-00000783] has left the conference.
[Tue 12:00:10] <dlongley>	burn: I understand Shane's concern quite a bit. Sometimes you can't properly do one piece without understanding what the other piece will look like. I will say that all standards work that has been successful has been effectively staged. There's a certain mass of people that want to do one thing or a set of things and then you decide to do that and then say there's stuff you want to do afterwards. Everyone will participate in phase I and if there are enough then phase II will happen. Eventually you won't have enough people. It's always a question of where you draw that line. Ideally you don't have to draw that line, but sometimes you can say "Here's part one" and once that's done if there's enough demand for it, you'll get to part two. Politically, that's the only way to get work done.
[Tue 12:00:16] <victoriano>	* I whish I could have heard the flies story :-)
[Tue 12:00:16] *	jasonweaver has quit ("Page closed")
[Tue 12:00:30] <manu>	ack phofmanntsy 
[Tue 12:00:30] <voip-vctf>	phofmanntsy has the floor.
[Tue 12:00:35] <ShaneM>	I don't think that I would find a working group argument compelling as an AC member if there weren't going to be a usable output.
[Tue 12:00:42] *	dlongley There's a guy dropping ink on a fly. The fly shakes it off. Keeps happening. Fly gives up and dies. I hope you are happy.
[Tue 12:01:11] <dlongley>	Peter: I think we should try and reach for more in the work, that's my view.
[Tue 12:02:25] <dlongley>	manu: At the end of a data model and format ... we'll have something useful out of it. We'll be able to express these verifiable claims and some people have said that a transport layer could be OpenID Connect or maybe it's something else. The trap we can fall into ... we have a protocol in Credentials CG, but it requires us to solve a self-sovereign identifier problem w/a WebDHT tech. That's not trivial to address. That's a concern with trying to do the protocol work.
[Tue 12:02:39] <dlongley>	manu: I'm not convinced we can do that in two years, not enough people and funding.
[Tue 12:02:44] <manu>	q?
[Tue 12:02:44] <voip-vctf>	The current speaker queue is: burn, manu, JohnTib
[Tue 12:02:44] <dlongley>	manu: We can pull off data model and format.
[Tue 12:02:46] <manu>	ack burn 
[Tue 12:02:47] <voip-vctf>	burn has the floor.
[Tue 12:02:48] <manu>	ack manu
[Tue 12:02:48] <voip-vctf>	manu has the floor (to explain the benefit.).
[Tue 12:02:49] <manu>	ack JohnTib 
[Tue 12:02:49] <voip-vctf>	JohnTib has the floor.
[Tue 12:03:30] *	CarlaCasilli has quit ("Page closed")
[Tue 12:03:33] <voip-vctf>	Carla Casilli [SIP/sip2sip.info-00000794] has left the conference.
[Tue 12:03:57] <dlongley>	JohnTib: I do think there's value in data format, sort of moving in the direction of JWTs. I'm wondering if the dynamic side of it that's realized in an API if that couldn't be expressed more non-specifically. Like talking about the kinds of required interactions we need to have work without getting into the exact protocols. We want to have some dynamic expressed but could we do it abstractly or diagrammatically?
[Tue 12:04:25] <dlongley>	manu: Yes, I think we can do that. The question is... does this group feel like we should just do data format, etc. first.
[Tue 12:04:52] <JohnTib>	+1 to push call back
[Tue 12:04:55] <dlongley>	manu: We're past time, next week I won't be here so we can have someone else run it or we can push it off to Thurs/Fri to make sure we have all the docs ready.
[Tue 12:05:00] <ShaneM>	I can live with just formats and model.  But if there were example APIs or something that might be useful.
[Tue 12:05:07] <voip-vctf>	John Tibbetts [SIP/sip2sip.info-00000782] has left the conference.
[Tue 12:05:07] <dlongley>	manu: I'll send an email about potentially pushing it off.
[Tue 12:05:07] <dlongley>	Present+ trainer, taaz, Law, kidd, delorenzo

