[2019-03-19T15:57:10.064Z]	<brent>	present+ Brent_Zundel
[2019-03-19T16:47:53.804Z]	<rhiaro>	JoeAndrieu: I do think that's the direction we can go to in terms of talking about qualities.. I'm not sure I like all of them. We don't have consensus. but that moves us into a direction for a definition of what we mean by decentralised. We can say this is what we mean by DIDs
[2019-03-19T16:48:23.659Z]	<jonathan>	I think Dmtri was referencing the "peer" did method? which is not persistent, which is a valid use case against persistence.
[2019-03-19T16:48:30.389Z]	<dmitriz>	yes! the peer method
[2019-03-19T16:49:12.104Z]	<rhiaro>	drummond: What dmitri said gave me an idea about how we might characterise it. I've been talking about those 4 qualities for q uite a while. Sovrin has test networks. They're not persistent, they can get reset. There are DIDs on them, but those particular DIDs on that particular network do not have that persistence. DIDs on the Sovrin main network, the whole reason for the network, is global uniqueness, persistence, cryptographic verifiability and no
[2019-03-19T16:49:12.105Z]	<rhiaro>	 centralisation. Even to the point that it's a permission network is that it's centralized.. the amount of work that's gone into Decentrlaiztion by Design.. you can always debate it, but there's a lot of work going into that
[2019-03-19T16:49:41.211Z]	<rhiaro>	... At least on those 4 dimensions, and maybe there are others, any one DID method could be looked at and say some DID methods don't have persistence, and some use centralized registries.. I'm on the fine line whether we can objectively judge DID methods that way
[2019-03-19T16:49:54.353Z]	<JoeAndrieu>	q?
[2019-03-19T16:49:58.521Z]	<rhiaro>	... But to markus's point, I agree with the tension about whether we can call it a DID if it relies on a centralized registry
[2019-03-19T16:50:07.420Z]	<rhiaro>	JoeAndrieu: I know kaliya had comments in IRC about the whitewashing of openID
[2019-03-19T16:51:39.419Z]	<mwherman2000>	As a bootstrapping tactic, Facebook's Other Names section of the FB profile is a potential place to store a DID but unfortunately special characters are not allowed: https://www.facebook.com/help/112146705538576?helpref=faq_content
[2019-03-19T16:52:04.381Z]	<JoeAndrieu>	q?
[2019-03-19T16:52:07.674Z]	<drummond>	+1 to Kaliya's point about empowering individuals
[2019-03-19T16:52:17.653Z]	<dlongley>	scribe: dlongley
[2019-03-19T16:52:21.950Z]	<markus_sabadello>	q+
[2019-03-19T16:52:32.769Z]	<dlongley>	JoeAndrieu: Thanks for that conversation. I'm not sure if the consensus has shifted but there's more clarification on the ideas here.
[2019-03-19T16:52:35.211Z]	<JoeAndrieu>	ack markus_sabadello
[2019-03-19T16:53:10.868Z]	<dlongley>	markus_sabadello: I just wanted to say, orthogonal maybe to this discussion, whether or not we want to be able to discover DID documents from domain names/usernames. To be able to discover DIDs from non-DIDs. It could start from any facebook identifier/other and find a DID from that.
[2019-03-19T16:53:21.319Z]	<mwherman2000>	FB doesn't even allow numbers in a Name
[2019-03-19T16:53:52.625Z]	<jonathan>	q+
[2019-03-19T16:53:53.385Z]	<JoeAndrieu>	q?
[2019-03-19T16:53:56.034Z]	<drummond>	+1 to Markus' point about enabling discovery of a DID from another non-DID identifier like a URL or domain name
[2019-03-19T16:53:56.119Z]	<dlongley>	markus_sabadello: So you only use the human readable identifier to discover a DID and then you keep working with the DID. There is some work that's been done on that. Discovering a DID from a domain name, etc. ... that's an additional feature, it doesn't answer whether we want to be able to discover DID Documents directly from a non-DID.
[2019-03-19T16:53:57.712Z]	<dmitriz>	consensus wise, I at very least heard fairly uniform agreement that we /cannot/ forbid an inclusion of a DID method (such as the HTTPS method) into our informal registry
[2019-03-19T16:54:00.448Z]	<JoeAndrieu>	ack jonathan
[2019-03-19T16:54:07.299Z]	<MosesMa>	q+
[2019-03-19T16:54:21.131Z]	<markus_sabadello>	draft spec for discovering a DID from a domain name: https://datatracker.ietf.org/doc/draft-mayrhofer-did-dns/
[2019-03-19T16:54:37.108Z]	<JoeAndrieu>	q+ to mention trust on first use
[2019-03-19T16:54:42.351Z]	<dlongley>	jonathan: Just going back to the DNS link I shared. It is a cryptographic key pair in DNS and it's a bridge technology. Maybe how we do this with DNSSEC or signing cryptographically the link to the IPLD object... I don't like it but I think it's a bridge tech.
[2019-03-19T16:54:43.727Z]	<JoeAndrieu>	ack MosesMa
[2019-03-19T16:54:47.623Z]	<JoeAndrieu>	q?
[2019-03-19T16:54:57.439Z]	<rhiaro>	identitywoman: I'm really concerned because of the history of our community developing protocols that are designed to empower end users and individuals then... differences with URLs being the basis of identities but the intentions are similar. Then big companies picked them up and implemented them. So every time we log in with google or facebook via OAuth, but they're centraliseed. I hear the idea that
[2019-03-19T16:54:57.439Z]	<rhiaro>	DID Docs can be used for any endpoint. I don't want to see this get coopted. I want us to actually build the decentralized thing we're talking about
[2019-03-19T16:55:09.428Z]	<chrisboscolo>	 +1 to Jonathan's desire create a "bridge"
[2019-03-19T16:55:47.639Z]	<drummond>	+1 to bridging conventional identifiers and infrastructure to DIDs. That's how adoption always happens.
[2019-03-19T16:55:51.431Z]	<JoeAndrieu>	q?
[2019-03-19T16:55:55.409Z]	<dlongley>	MosesMa: I'm working with the Universal? Postal Union and one of the things we're talking about is being able to do is resolve a postal address from a DID. The idea here is that countries are sovereign but subservient to the UN or the rule of law. And humans should be the same way, and the rule of law is what we should be subservient to and we should deal with that in our system instead of complete chaos/anarchy. I'd be happy to talk to anyone offline	about that.
[2019-03-19T16:55:57.325Z]	<jonathan>	I should clarify the cryptographic is a password to access write to the DNS record. NOT ideal, but proves that I own the DNS record.
[2019-03-19T16:55:58.426Z]	<rhiaro>	scribenick: rhiaro
[2019-03-19T16:56:06.127Z]	<JoeAndrieu>	ack JoeAndrieu
[2019-03-19T16:57:15.208Z]	<rhiaro>	JoeAndrieu: other people can speak to how broadly it's used, but there's a notion of trust on first use. It's a certain level of quality yo ucan give to the underlying crypto identifier, eg. when you ssh into a server you've never been to before you'll get a popup that says hey do you want to save this key forever. You're going to be trusting that key because it's your first use an dyo udon't hav ea better key. That's a particular architecture for a
[2019-03-19T16:57:15.208Z]	<rhiaro>	certain quality assurance about a particular key. That's all some of these bridge technologies are good for. We'r enot trusting fb, we're using fb as a trust on first use type of level
[2019-03-19T16:57:20.089Z]	<JoeAndrieu>	q?
[2019-03-19T16:57:36.512Z]	<rhiaro>	... Anyone else?
[2019-03-19T16:57:38.311Z]	<drummond>	q+
[2019-03-19T16:57:42.740Z]	<rhiaro>	... We can wrap early. Thanks for the conversation
[2019-03-19T16:57:58.593Z]	<mwherman2000>	DIDs can be added to Facebook as "Life Events"
[2019-03-19T16:58:10.073Z]	<rhiaro>	... Some of this can flow into the DID spec conversation, how we might do some of that dance between what we watn to advocate without trying to prvent DID methods that aren't centralised. THere's language in there we can flow into the DID spec about what we advocate ideologically
[2019-03-19T16:58:10.539Z]	<JoeAndrieu>	q?
[2019-03-19T16:58:12.979Z]	<drummond>	To remind folks about the DID spec and DID Resolution spec calls on Thursday
[2019-03-19T16:58:15.766Z]	<JoeAndrieu>	ack drummond
[2019-03-19T16:58:17.479Z]	<mwherman2000>	...which kind of makes sense.
[2019-03-19T16:58:39.105Z]	<rhiaro>	drummond: quick reminder that we will begin regular weekly calls on Thursday, first hour on DID spec, second hour on DID resolution, starting this thursday
[2019-03-19T16:58:44.978Z]	<rhiaro>	... We sent an email to the list.
[2019-03-19T16:58:49.507Z]	<rhiaro>	... Thank you markus for hosting the zoom room.
[2019-03-19T16:59:04.398Z]	<rhiaro>	JoeAndrieu: For clarity, that'll probably continue past the DST skew. The set time is in Pacific
[2019-03-19T16:59:17.639Z]	<rhiaro>	... When Europe changes to DST in a week or two, the pacific time will stay the same but the meetings will shift an hour
[2019-03-19T16:59:23.605Z]	<rhiaro>	drummond: we'll send a reminder to the list the day before
[2019-03-19T16:59:32.066Z]	<JoeAndrieu>	q?
[2019-03-19T16:59:47.239Z]	<rhiaro>	... Joe, we keep the notes in a google doc and send the contents to the list? Is that okay or do we need to use irc?
[2019-03-19T17:00:08.148Z]	<rhiaro>	JoeAndrieu: I think capturing in a google doc in terms of ipr requirements is half way there... if the google doc stays around.. I guess the problem is that you lose attribution
[2019-03-19T17:00:20.099Z]	<rhiaro>	... Or if the notes clearly say who says what then we still have it
[2019-03-19T17:00:26.383Z]	<kimhd>	Markus is uploading audio too
[2019-03-19T17:00:28.565Z]	<rhiaro>	drummond: we've been recording the audio in the DID resolution calls
[2019-03-19T17:00:34.448Z]	<kimhd>	q+
[2019-03-19T17:00:36.398Z]	<rhiaro>	JoeAndrieu: that is useful as well. We have an automated pipeline for these calls
[2019-03-19T17:00:42.560Z]	<JoeAndrieu>	ack kimhd
[2019-03-19T17:00:59.687Z]	<rhiaro>	kimhd: the other thing about these calls, we can take this offline, we need to talk to manu about it. There's this whole thing where we're recording and I don't know how to get into the schedule to use that pipeline
[2019-03-19T17:01:06.593Z]	<rhiaro>	... So for these just do what you can
[2019-03-19T17:01:14.040Z]	<rhiaro>	drummond: that's what we've done in the past, just double checking
[2019-03-19T17:01:31.228Z]	<rhiaro>	JoeAndrieu: on the google doc as long as you're clearly attributing who said what then that will help with ipr questions
[2019-03-19T17:01:42.086Z]	<rhiaro>	drummond: right
[2019-03-19T17:01:44.359Z]	<JoeAndrieu>	q?
[2019-03-19T17:01:47.185Z]	<rhiaro>	... It's open to anyone in the CCG
[2019-03-19T17:01:57.140Z]	<rhiaro>	JoeAndrieu: adjourned, thanks everyone
[2019-03-19T17:02:05.105Z]	<MosesMa>	bye peeps!
[2019-03-19T17:16:54.358Z]	<dlehn>	voip-ccg: connections?
[2019-03-19T17:17:07.143Z]	<dlehn>	voip-ccg: disconnect 8fc
[2019-03-19T17:17:10.971Z]	<dlehn>	voip-ccg: disconnect 8e2
