[2024-05-13T14:45:11.223Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024May/0001.html

[2024-05-13T14:45:59.223Z]	<Ildiko_Mazar> Hello everyone, welcome to today's Verifiable Credentials for Education task force call. Let's start with the usual IP Note: Anyone can participate in these calls. However, all substantive contributors to any CCG Work Items must be members of the CCG with full IPR agreements signed. Please note that these meetings are recorded. We have a robot transcriber and we also do an audio and a video recording. If you want to speak, please raise your hand, or type “q+” in the chat to add yourself to the queue.
[2024-05-13T14:50:59.223Z]	<Ildiko_Mazar> If we have any new people in the call, or somebody who would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to the main agenda topic, that are Projects supporting LERs for learners and employers.
[2024-05-13T15:36:03.692Z]	<Transcriber>	Lucy_Yang: It's actually like coming from it's it's actually going to that URL like we're not you know like pretty much like anti-spoofing like that's that's 1 of the things like um like DNS and DNS Sac provides um and another another thing I want to kind of highlight we're not for us like we don't because we're technology providers we don't do the governance part of it um but the the idea of using like when we we are actually working on a governance kind of guidance for whoever implementing it is really at the end of the day how how the the vetting is done to be for someone to be able to be part of a yellow page or to be part of a a like a higher level directory this is something defined by governance and also another thing that I think I mentioned earlier is what information like where so that actually whoever is running kind of like the essentially Federated platform they their job is not to tell people like oh you have to follow this particular policy of issuing education credentials work over credentials but what they have to Define is what a what set of metadata like information.
[2024-05-13T15:36:18.820Z]	<Transcriber>	Lucy_Yang: Used to provide in order to be for them to be able to to participate in the platform so pretty much that is like this 1 is like the party provides that information or ecosystem provides that set of information then the other ecosystem can really see okay.
[2024-05-13T15:36:24.768Z]	<Transcriber>	Lucy_Yang: Have have enough information to evaluate whether that you know ecosystem is trusted can be trusted or not.
[2024-05-13T15:36:29.228Z]	<Transcriber>	Lucy_Yang: So this is like a little bit more technical how like the DNS um.
[2024-05-13T15:36:29.539Z]	<Transcriber>	Lucy_Yang:  kind of.
[2024-05-13T15:37:02.383Z]	<Transcriber>	Lucy_Yang: Like how we're using DNS and DN you know how like the the you know the publishing ecosystem leverage you know have their own DNS Zone and how they're used you know this is this is a little bit more technical but if anyone want to dig into it I'm I'm happy to try my best to explain it but the idea is just really is is if you're looking at the the um the the gray box is really this is like the the the kind of like example of a Federated directory of all like the the listing uh ecosystems and each when when you create your clicking into like each.
[2024-05-13T15:37:54.543Z]	<Transcriber>	Lucy_Yang: And each ecosystem behind there's actually a you know there's something they're doing on their DNS Zone and then also some of some of the ecosystem we're hosting they have their own trust list right so for example if we're for example if you think about um the the EU coic certificates is a part of the listing listed ecosystem then they actually they have a trust list themselves that we you know that they are managing and really depends on whether someone want to use and train and as um as as um as to further trust registry they don't have to like I said they can use whatever trust registry we have but then as a matter of whether like train can further investigate into uh you know a secondary or like a second layer trust trust registry so we're working on we're working on really kind of looking at what are the major trustworthy protocols for standards out there so we can integrate further with that um but this is still work in progress.
[2024-05-13T15:38:55.455Z]	<Transcriber>	Lucy_Yang: So lastly I mean I already you know I I hope that I have like provide enough Clarity for for you to ask more questions just want to give you an idea when we say like there's why there are so many things like to kind of wrap my head around is so train is like train is really a standard based open source framework to both you can both trust registry and you know using like that follows like the Etsy standards and also the most important and functionality for train just really decently Federate any type of trust Registries and but what kind of like trustworthy we're looking at their where we're looking we're looking at out there so like we have like the conventional CA that's you know trustless that's like standard based and that we have like the trust SC trust trusted list that's also standards as open standard and 1 of the you know kind of recent 1 kind of emerging and open ID Federation this is something I I I'm planning to kind of dig into a little bit more so this is also standardized and it kind of quite a new thing that came out of diff it's called credential trust establishment I don't understand enough but I feel like this is more kind of a did based um so these kind of like the the standards I mean I would love to.
[2024-05-13T15:38:56.003Z]	<Transcriber>	Lucy_Yang:  kind of look.
[2024-05-13T15:39:29.945Z]	<Transcriber>	Lucy_Yang: Like I understand a little bit more particularly like the open ID Federation and diff the 1 came out of death there are also some kind of Open Source where partially open source project that are you know they're not necessarily kind of standard standard standard base but but there at least you know they they're major ones like that you know the apps the apps you trust chains blockchain 1 because that's widely used in Latin America and somewhere registry is came came out of India I I believe they're also like more more widely adopted Beyond India and in another 1 I just um like our our front Huffer.
[2024-05-13T15:39:44.852Z]	<Transcriber>	Lucy_Yang: Told me that the guy asks trust registry I mean they they are working with um like from her like in this you know implementing trained within guy act but also the guy act itself has their own kind of way of doing trust registry so that that's a new thing I have to dig into.
[2024-05-13T15:40:14.391Z]	<Transcriber>	Lucy_Yang: And then another some related stuff not necessarily you can use to build trust registry but actually very very related of 1 is this w3c verifiable issuer and verifiers this is the 1ha and a bunch of others trying to Define at w3c and then there's a trustful IP trustworthy like version 2 um so the trust and this 1 I I might if I understand correctly so they're trying to Define um the way a bridge between um.
[2024-05-13T15:40:28.268Z]	<Transcriber>	Lucy_Yang: Between trust Registries and and verifiers because you know because there are so many different trust Registries out there so how how how can you you know trying to standardize how a verifier will you know like.
[2024-05-13T15:41:07.970Z]	<Transcriber>	Lucy_Yang: Interact and kind of have a standardized way for verifiers to engage with different trust Registries is what they're trying to do for the version 2 which I think makes sense and another 1 actually I worked on like early on when when and during Co with SEO is like a trustless specification where it really you know how how to get you know uh convert or you know use the word convert the X 509 into kind of a dit and based on documents so that's the all these are kind of things I I I I I want you know I'm I've tried to follow and also try to understand more and there's actually a lot more I haven't listed here that's the reason why I'm like you know this is the only a starter of a conversation hopefully and.
[2024-05-13T15:41:09.976Z]	<Transcriber>	Lucy_Yang:  what is my last thought yeah.
[2024-05-13T15:41:10.372Z]	<Transcriber>	Lucy_Yang: So I mean this is like.
[2024-05-13T15:42:11.338Z]	<Transcriber>	Lucy_Yang: To action so if anyone I mean my company like that's my um consulting company we are looking for sponsorship to Sporter to support our research in this area um so if you're interested and see what kind of like sponsorship uh sponsorship project we did like I have a link to the website there and also Whoever has actually a business when I say business case I don't mean like you know like really profit making case it's really business means like case that actually can create value right because if you ask me like what what are use cases I can really sit here and talk about use cases for the rest of the day but I want to identify you know like the cases where actually we can start creating value today they're actually a real need out there so that's kind of what I mean by business cases um so like we're yeah we're looking for partners like when I say we I mean like what it could be our our consulting firm also could be like part of my work at at the UN I don't know it really depending on where things are online a lot of work I'm I'm doing at the UN are more kind of government related um but you know I I me as a person trying to solve real world problems I'm not I'm a use case where I'm.
[2024-05-13T15:42:12.201Z]	<Transcriber>	Lucy_Yang:  business case agnostic.
[2024-05-13T15:42:12.492Z]	<Transcriber>	Lucy_Yang: So if you.
[2024-05-13T15:42:18.240Z]	<Transcriber>	Lucy_Yang: You have you know interested in any of those those things I have my um my email here.
[2024-05-13T15:42:18.587Z]	<Transcriber>	Lucy_Yang:  I think that.
[2024-05-13T15:42:26.774Z]	<Transcriber>	Lucy_Yang: At the end of my presentation I'll share the link and and the email uh the link to the slide so if you know so you can have access to that.
[2024-05-13T15:42:27.070Z]	<Transcriber>	Lucy_Yang:  how can I.
[2024-05-13T15:42:31.245Z]	<Transcriber>	Lucy_Yang: Stop sharing I'm sorry I'm trying to find it.
[2024-05-13T15:42:48.431Z]	<Lucy_Yang>	https://docs.google.com/presentation/d/1SbrG6PQupLmrYHT4ZbnvhbI-uoXsbuMjWyjg-YvPX-M/edit?usp=sharing
[2024-05-13T15:42:56.995Z]	<Transcriber>	Lucy_Yang: Yeah yeah I I shared it in in the slides um.
[2024-05-13T15:42:58.977Z]	<Transcriber>	Lucy_Yang: Sorry in the chat.
[2024-05-13T15:43:17.900Z]	<Simone_Ravaioli>	q+
[2024-05-13T15:44:55.642Z]	<Transcriber>	Lucy_Yang: I I feel like education education space is actually 1 of the most active I mean probably I'm engaged with education space quite a lot but I I feel it's 1 of the most active and space but not necessarily um big initiatives um the reason why I'm saying this is when it comes down to really kind of business cases really what what are going to bring immediate like a work short-term mid-term value to someone who is going to take the lead on it right so what I see happening is really a particular country looking at where where there's you know where their people are going you know where their people are are immigrating to right and and also where where they have um kind of incoming kind of students from you know which countries which countries are having incoming students it's really identifying those countries that you know have a strategic value sorry have a strategic value for them so I do see a lot of conversation happening kind of among the few countries.
[2024-05-13T15:44:56.452Z]	<Transcriber>	Lucy_Yang:  where they're trying to kind of.
[2024-05-13T15:45:01.510Z]	<Simone_Ravaioli>	q-
[2024-05-13T15:45:10.199Z]	<Transcriber>	Lucy_Yang: I know there are have been quite some initiative in Canada or at least conversations I don't know actually there's actually you know tangible initiative but at least um uh action you know conversations like with other countries to really see how you know.
[2024-05-13T15:45:17.231Z]	<Transcriber>	Lucy_Yang: Faster faster um kind of verification of educational credentials to bring like immigrants um.
[2024-05-13T15:45:24.566Z]	<Geun-Hyung_Kim>	present+
[2024-05-13T15:45:24.696Z]	<Transcriber>	Lucy_Yang: And and also like International students like you know for for international student programs right that kind of thing um.
[2024-05-13T15:45:27.822Z]	<Transcriber>	Lucy_Yang: I I'm trying to.
[2024-05-13T15:46:02.872Z]	<Transcriber>	Lucy_Yang: And also I my understanding is is also some existing kind of infrastructures like you know trust Registries I wouldn't call it trust registry I I don't understand enough of how some of the existing Registries are being done in in education space and that's the reason why I would love to kind of actually work on a particular case so I understand that existing infrastructure because the at least the work I do I hope that we're not we're not trying to kind of like create a completely new thing and for for the education space it's really what already can be leveraged and and how can we you know use like new tooling to enable enable kind of.
[2024-05-13T15:46:04.377Z]	<Transcriber>	Lucy_Yang: Tell you right.
[2024-05-13T15:46:04.459Z]	<Deb_Everhart_(Credential_Engine)>	thank you! brb
[2024-05-13T15:46:55.926Z]	<Transcriber>	Lucy_Yang: That's and you know quite you know in in a relatively you know short term and but also with a kind of long-term view in place I hope I answer and answer your question I don't think there are any particular kind of standard or kind of stopped at least I'm not aware of and which is probably a good thing I think I really like how how like you guys have actually a task for a particularly on focusing on credentials because the challenge I have is is really there's so many new things that come up right whether whether whether like a new initiative have evaluated the other in existing options out there that's a question mark for me and also that's part reason why we you know we as company want to do more research and communicate better about what are already there what problems they're they're solving so when it comes to actually a particular use case whether it is like you know education or Healthcare people have at least have a better starting point for them to evaluate what what they can use.
[2024-05-13T15:46:59.946Z]	<Transcriber>	Lucy_Yang: Did I answer your question.
[2024-05-13T15:47:03.134Z]	<Dmitri_Zagidulin>	q+
[2024-05-13T15:47:27.580Z]	<Dmitri_Zagidulin>	ah one sec, audio problem
[2024-05-13T15:47:41.589Z]	<Kerri_Lemoie>	@lucy - DCC & Credential Engine is kicking off an edu/workforce registry research project next month. It will be an open public project.
[2024-05-13T15:47:51.644Z]	<Transcriber>	Lucy_Yang: I can see that oh okay.
[2024-05-13T15:47:59.311Z]	<Dmitri_Zagidulin>	present+
[2024-05-13T15:48:00.457Z]	<Kerri_Lemoie>	q+
[2024-05-13T15:48:00.655Z]	<Transcriber>	Lucy_Yang: Thanks Carrie I I would love to follow that work.
[2024-05-13T15:48:10.692Z]	<Transcriber>	Lucy_Yang: But is that particularly about um registry and education space I mean we're you know when I say registry is mean they're already registry is that.
[2024-05-13T15:48:18.903Z]	<Transcriber>	Lucy_Yang: Um in education space I was supposed to kind of like what we mean by trust registry so if you can clarify a little bit that's that would be great.
[2024-05-13T15:48:40.898Z]	<Transcriber>	Kerri_Lemoie: Sure um so there aren't that many Registries and education yeah I mean there are some but they're not necessarily set up to work with verifiable credentials and there's a lot of governance that happens in education right um but we all of this hasn't really come together yet so This research project is about exploring this topic um in the context of learning and employment records.
[2024-05-13T15:49:00.374Z]	<Dmitri_Zagidulin>	ack kerri
[2024-05-13T15:49:03.511Z]	<Dmitri_Zagidulin>	q?
[2024-05-13T15:49:30.988Z]	<Transcriber>	Kerri_Lemoie: And um but so a lot of that is governance right and a lot of that is what are the needs of verifiers for specifically learning and employment records and then some of that of course is the technology and how all of this be hosted so there's a lot of intersection with the work you've been doing with this so I will definitely be in touch and this research project is going to be 1 year uh digital credential Consortium is doing it with uh credential engine but it's going to be an open public project because there's a lot of people who are interested in trust Registries in our space right now so um we're going to work on it together and ideally we'll do a lot what you you've been doing in the similar method where we'll produce something um a pilot registry for folks to try and and write up all of our understandings of the registry that are in place now in the world and and what is needed in this space so does that help.
[2024-05-13T15:49:45.955Z]	<Transcriber>	Lucy_Yang: Yes that that's super helpful because I think what 1 thing you mentioned about governance so so when when when I'm a business person looking at what are the kind of like promising use cases I would love to work with those who already have existing governance because building governance from scratch is like.
[2024-05-13T15:49:52.434Z]	<Transcriber>	Lucy_Yang: It's it's difficult right and also I think that the fact that you are looking into like the.
[2024-05-13T15:50:00.515Z]	<Transcriber>	Lucy_Yang: Like you said like the probably the technology are not using are not for verifiable credentials yet.
[2024-05-13T15:50:02.077Z]	<Ildiko_Mazar>	This is great @Kerri, please keep us posted about the project.
[2024-05-13T15:50:58.754Z]	<Transcriber>	Lucy_Yang: Into those you know existing kind of technology or system is important that's something I I I can't do or at least I I we're not prioritizing like if you ask me my my time and mostly spending on uh it's most spent on really looking at like the credential related work you know like the you know the the kind of registry I trust registry I presented right and and but not necessarily so in a particular space but where where I think things come together is like you have a much better understanding of like the education space where we you know we can actually help really help how we can bring those existing systems and Technologies you know kind of you know to like things that can work with verify for credentials all these emerging Technologies right so I think that's where and and also you understand governance better right when we work with Partners is really the partner actually have and have I understand the governance so we we we're we're making sure we're building technology kind of like leveraging the the existing governance to the the past extent possible so that's that's great great great to learn thank you for sharing.
[2024-05-13T15:51:29.914Z]	<Transcriber>	Kerri_Lemoie: Yeah absolutely I think I mean we we have a lot to learn in terms of what verifiers are really looking for and we have we have some issuing happening in education and in Workforce with credentials but not a lot of verifying yet and we'd like to know and learn more about like that's a big question what do verifiers need when do they need it and we suspect there's probably going to be hundreds of Registries and education and Workforce because private government all sorts of people are interested in that space so it's a fascinating project actually so excited to I'll connect with you I'll drop you an email with talk to some more.
[2024-05-13T15:52:30.180Z]	<Transcriber>	Lucy_Yang: Thank you very much I think like what you I mean another very very good point you brought up on the verifier side because what I'm nervous about these days is is is also the verifier side I I I I feel fairly um confident about the the the kind of decentralized federation approach but not necessarily so in terms of at the user experience level I'm like I have I mean we've done some um some um PC and part like pilot projects where we can you know demonstrate like the verifier app can you know you know have the entire end to end but but still there are a lot you know for for verifier to digest to be able to because we work with someone who is fairly familiar with our approach we're really kind of how to you know give the verifier who has nothing you know no nothing about you know our space and really that kind of experience that they don't even have to know like what what is you know whether it's Central or decentralized you know Federation that's something I I I'm nervous about but yeah but that's a very good point thank you very much what I hope that you know as we we you know work further on this we can also share a bit more on like what on the the expedition.
[2024-05-13T15:52:30.853Z]	<Transcriber>	Lucy_Yang:  from there.
[2024-05-13T15:52:36.473Z]	<Transcriber>	Kerri_Lemoie: Yeah exactly Lucy thank you so much this has been a great presentation thanks for coming today.
[2024-05-13T15:52:38.384Z]	<Transcriber>	Lucy_Yang: Thank you for having me.
[2024-05-13T15:52:44.353Z]	<Deb_Everhart_(Credential_Engine)>	sorry I missed a few min- I'll catch up via transcirption
[2024-05-13T15:52:46.276Z]	<Transcriber>	Dmitri_Zagidulin: Works okay excellent that just seems to work.
[2024-05-13T15:52:52.975Z]	<Deb_Everhart_(Credential_Engine)>	very helpful presentation, thank you!
[2024-05-13T15:53:13.492Z]	<Transcriber>	Dmitri_Zagidulin: Um yeah I just wanted to say Lucy thank you so much for this presentation this is really helpful I I totally agree with you that really the notion of trust Registries is like 1 it's like an iceberg right I think we're a lot of people who encounter it don't realize just how much is is under the surface of it just how much work we all have to do organizationally technologically governance wise and all that stuff.
[2024-05-13T15:53:18.206Z]	<Transcriber>	Dmitri_Zagidulin: And absolutely agree with you that um.
[2024-05-13T15:53:38.952Z]	<Transcriber>	Dmitri_Zagidulin: Critical for issuers it is also critical uh for verifiers and in addition the the other sort of angle that I think our communities just starting to really uh wrestle with is hey what about self issued credentials right how how do we tie it into.
[2024-05-13T15:53:51.127Z]	<Transcriber>	Dmitri_Zagidulin: Of this kind of infrastructure uh for self issued and and endorsements and all that stuff so really great topic thank you so much for speaking on it uh that's it.
[2024-05-13T15:53:52.382Z]	<Transcriber>	Lucy_Yang: Thank you Dimitri.
[2024-05-13T15:53:59.405Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	ack dmi
[2024-05-13T15:54:06.379Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	q?
[2024-05-13T15:54:16.028Z]	<Transcriber>	Dmitri_Zagidulin: Go ahead Laura if you're speaking you're muted.
[2024-05-13T15:54:58.580Z]	<Transcriber>	Laura_Paglione: Sorry it's uh happened uh allowed my browser to um do this in a while sorry about that um I do a lot of work with the research and education uh identity Registries like in common um and actually the global network of of those so um they have been starting the process of talking a lot about uh decentralized identity and how uh the trust Registries that they've built um specifically in research and education are going to match with the decentralized world so um I think there's a lot there's a that Community is right for conversation right now um and I'm happy to make an introductions if that's helpful.
[2024-05-13T15:55:04.103Z]	<Transcriber>	Lucy_Yang: Yes thank you very much Laura yeah I would love to learn more about uh the work they've been doing.
[2024-05-13T15:55:19.947Z]	<Transcriber>	Dmitri_Zagidulin: Quick to follow follow on question to Laura so uh do you have do you have any insight into the uh sort of where the state of things are in the in common educ gain.
[2024-05-13T15:55:30.364Z]	<Transcriber>	Dmitri_Zagidulin: Sort of area so we we've had the initial conversations with um within common uh through through through Nicole Roy.
[2024-05-13T15:55:40.774Z]	<Transcriber>	Dmitri_Zagidulin: Who who gave a presentation at the uh Chicago uh conference earlier this year.
[2024-05-13T15:55:43.908Z]	<Transcriber>	Dmitri_Zagidulin: The internet 2 conference.
[2024-05-13T15:55:44.074Z]	<Transcriber>	Dmitri_Zagidulin:  and so.
[2024-05-13T15:55:58.098Z]	<Transcriber>	Dmitri_Zagidulin: Uh in common mentioned that they might be interested in serving as a uh sort of pilot trust registry but do you have any more insight into where those conversations are at now.
[2024-05-13T15:56:05.987Z]	<Transcriber>	Laura_Paglione: So is that a question for me for Laura.
[2024-05-13T15:56:09.439Z]	<Transcriber>	Dmitri_Zagidulin: Yes yes question for.
[2024-05-13T15:56:43.374Z]	<Transcriber>	Laura_Paglione: Um so I know that in common has just done um a new strategic plan and they're in the process of um planning how they're going to execute it and this is 1 of the topics that are there and um so I imagine that the conversations that they'll be seeking are going to increase over the next several months and actually Lucy just a heads up I I just sent her name over to the program committee for a conference that's coming up in December um as a potential keynote speaker so if you hear from them that's my fault.
[2024-05-13T15:56:45.706Z]	<Transcriber>	Lucy_Yang: Oh that's great thank you.
[2024-05-13T15:57:04.334Z]	<Transcriber>	Lucy_Yang: Oh I have a note so I I will be at DC and DC next week for the DHS Silicon Valley demo week Pro you know event if anyone is in DCF happy to where are they but I'm happy to meet up.
[2024-05-13T15:57:14.961Z]	<Transcriber>	Dmitri_Zagidulin: Yeah it's going to be exciting um hope hopefully we can get somebody from the cohort to come and.
[2024-05-13T15:57:21.144Z]	<Transcriber>	Dmitri_Zagidulin: Uh present on um on what they've learned in DC.
[2024-05-13T15:57:37.503Z]	<Transcriber>	Sheela_Kiiskila: Okay uh with the.
[2024-05-13T15:57:43.984Z]	<Transcriber>	Sheela_Kiiskila: With the note that I might like sounds stupid but I'll bring it out anyway.
[2024-05-13T15:57:57.591Z]	<Transcriber>	Sheela_Kiiskila: Talking about uh trust Registries there are different types and levels of trust registry that can happen I'm more uh working on verifying the credentials in the education field.
[2024-05-13T15:58:22.626Z]	<Transcriber>	Sheela_Kiiskila: Actually I'm working in Europe so I'm in Finland and working with the European alliances and so what I noticed is uh when we want to issue uh the digital credentials are verifiable credentials there are certain trust Industries we can already use today like they say uh database of uh Dakar uh database of European quality assurance registry.
[2024-05-13T15:58:39.619Z]	<Transcriber>	Sheela_Kiiskila: So every University within Europe um every 2 years or so they do internal assessment and uh uh you know give the assessment to the other European wide and if it gets accepted it means that they are at the European level of quality assurance.
[2024-05-13T15:58:40.665Z]	<Ildiko_Mazar>	https://www.eqar.eu/qa-results/search/
[2024-05-13T15:58:44.172Z]	<Transcriber>	Sheela_Kiiskila: All the as far as I know the higher education institutions do this.
[2024-05-13T15:58:52.203Z]	<Transcriber>	Sheela_Kiiskila: So that's a trust registry for us if we are working with a university or if if any student brings in a.
[2024-05-13T15:59:01.661Z]	<Transcriber>	Sheela_Kiiskila: Any University that already is in the Dakar which means that we know that okay their quality is at the European level for sure.
[2024-05-13T15:59:04.794Z]	<Transcriber>	Sheela_Kiiskila: Um and similarly you know.
[2024-05-13T15:59:12.621Z]	<Transcriber>	Sheela_Kiiskila: Credential that we issue we try to put a eqf level European qualification framework.
[2024-05-13T15:59:23.771Z]	<Transcriber>	Sheela_Kiiskila: When when a credential comes and it says eqf level 7 which means we know that the credential or the course they took is at a master's level.
[2024-05-13T15:59:24.375Z]	<Transcriber>	Sheela_Kiiskila:  so we already.
[2024-05-13T15:59:46.349Z]	<Transcriber>	Sheela_Kiiskila: Registries that can be used in education at within Europe context and I know when we expanded to the world and we want the credentials from Europe to be accepted in us then we need trusted Registries where this is trusted over there and all that but I was wondering if that's the type of trust registries you are talking about or.
[2024-05-13T15:59:48.688Z]	<Transcriber>	Sheela_Kiiskila: I completely missed.
[2024-05-13T16:00:41.031Z]	<Transcriber>	Lucy_Yang: I'll just quickly respond I think Sheila you brought up a very very good example because like the the what when I was responding to Kerry's our comment is really I I I don't understand enough what are the existing Registries that are in place but the registry you talked about I believe when they initially build it and they didn't think about the world has come can come to the you know point where today right they were not built for kind of technically interrupt but also governance wise interrupt across the world but I think the perfectly great you know a perfectly fine you're using within Europe but like you said when the actual there you know intellectual need to be verified across like economic or cause borders that's when the you know the challenge arrives right that's the problem we're trying to solve we're finding how how how we can bring these Registries in kind of at the level that they can actually understand and and in interrupt with each other in a meaningful way but yes do you give a very good example thank you.
[2024-05-13T16:00:53.863Z]	<Transcriber>	Sheela_Kiiskila: So it's mostly there needs to be more work on interoperability because there might be Registries already existing in different parts of the world interoperability is what is needed more than building the Registries or.
[2024-05-13T16:00:57.505Z]	<Transcriber>	Lucy_Yang: Yes exactly that's why.
[2024-05-13T16:00:57.752Z]	<Transcriber>	Sheela_Kiiskila: That it needs to build it on your registries.
[2024-05-13T16:00:59.280Z]	<Transcriber>	Lucy_Yang:  I yes my work is less about beauty.
[2024-05-13T16:00:59.600Z]	<Transcriber>	Lucy_Yang: Trust me it's really understanding what is.
[2024-05-13T16:01:02.752Z]	<Transcriber>	Lucy_Yang: Out there and really you know do the interrupt part.
[2024-05-13T16:02:40.721Z]	<Deb_Everhart_(Credential_Engine)>	thank you!
[2024-05-13T16:02:46.974Z]	<Sharon_Leu>	Thanks Lucy!
[2024-05-13T16:02:52.769Z]	<Dmitri_Zagidulin>	q-
[2024-05-13T16:02:53.866Z]	<Kerri_Lemoie>	Thanks, Lucy!
[2024-05-13T16:02:58.522Z]	<Transcriber>	Lucy_Yang: Thank you everyone.
[2024-05-13T16:02:58.547Z]	<Mahesh_Balan_-_pocketcred.com>	Thanks Lucy
