[2018-12-18T16:59:46.090Z]	<agropper_>	present+ Adrian_Gropper
[2018-12-18T18:01:08.728Z]	<heathervescent>	My pleasure
[2018-12-18T18:01:14.559Z]	<Lionel_Wolberger>	+1 chairs run clear meetings, with clear agenda, goals, rules of engagement
[2018-12-18T18:01:38.860Z]	<samchase>	Thanks Heather!!
[2018-12-18T18:01:43.659Z]	<JoeAndrieu>	That's a wrap for 2018!!! Thanks, Everyone!
[2018-12-18T18:01:44.651Z]	<burn>	Good job, Chairs!
[2018-12-18T18:01:56.412Z]	<chrisboscolo>	+100 to the thanks for the chairs
[2018-12-18T18:01:56.859Z]	<Lionel_Wolberger>	Ditto
[2018-12-18T18:02:04.320Z]	<samchase>	You guys have really been a highlight in my year!
[2018-12-18T18:02:05.498Z]	<Moses>	Happy holidays!
[2018-12-18T18:02:05.874Z]	<samchase>	thanks
[2018-12-18T18:02:10.280Z]	<manu>	+1 hooray for Chairs!
[2018-12-18T18:02:37.908Z]	<manu>	voip: connections?
[2018-12-18T18:02:40.819Z]	<manu>	voip: disconnect 20f
[2018-12-18T18:02:44.191Z]	<manu>	voip: disconnect 210
[2018-12-18T18:02:46.050Z]	<manu>	voip: disconnect 214
[2018-12-18T18:02:48.140Z]	<manu>	voip: disconnect 21d
[2018-12-18T18:02:48.884Z]	<manu>	voip: disconnect 21e
[2018-12-18T18:02:51.628Z]	<manu>	voip: disconnect 221
[2018-12-18T18:02:55.417Z]	<manu>	voip: disconnect 226
[2018-12-18T18:02:58.817Z]	<manu>	voip: disconnect 229
[2018-12-18T18:03:00.427Z]	<manu>	voip: disconnect 22a
[2018-12-18T18:03:01.511Z]	<manu>	voip: disconnect 22b
