
[2021-05-17T22:03:15.000Z]	<kimhd> Agenda: https://lists.w3.org/Archives/Public/public-credentials/2021May/0069.html
[2021-05-17T22:37:45.460Z]	<kimhd>	Now might be a good time to start working through some of the on you let's see Okay, let me go back first to fill barker's point on multiple payloads you'd kill yourself for that a while back, can you talk to that.
[2021-05-17T22:38:07.900Z]	<Phil_Barker>	Kerry did a good job of summarizing what I wanted to ask just based on what I put in the text.
[2021-05-17T22:38:15.070Z]	<Phil_Barker>	There are multiple payloads within scope.
[2021-05-17T22:38:19.150Z]	<Phil_Barker>	How would they be handled within if they are within scope and also you know just a little bit of consideration for each of these examples, what the consequences would be if they were in scope.
[2021-05-17T22:38:35.860Z]	<Phil_Barker>	So I don't know if it's something that can be answered now, it was more.
[2021-05-17T22:38:40.600Z]	<Phil_Barker>	So a question as to whether it is possible to consider them just yet.
[2021-05-17T22:38:52.180Z]	<kimhd>	let's see any discussion on that looks like.
[2021-05-17T22:38:58.360Z]	<kimhd>	O P one.
[2021-05-17T22:39:07.150Z]	<kimhd>	P one if you're talking you're muted.
[2021-05-17T22:39:09.250Z]	<Phil-T3>	My apologies, I was thinking with my eyes closed without thinking.
[2021-05-17T22:39:13.750Z]	<kimhd>	What people should do that that's great.
[2021-05-17T22:39:18.370Z]	<Phil-T3>	I know we wanted to put off the discussion about.
[2021-05-17T22:39:23.260Z]	<Phil-T3>	about what a presentation does versus what an issuer does.
[2021-05-17T22:39:30.460Z]	<Phil-T3>	But one of the challenges that's emerging is the.
[2021-05-17T22:39:34.390Z]	<Phil-T3>	Is the issue itself, creating a combined multi component credential the CEO is obviously one example of that, but I can imagine others might want to do something similar.
[2021-05-17T22:39:48.850Z]	<Phil-T3>	For their own particular domain i'm thinking in the HR space, for example.
[2021-05-17T22:39:55.750Z]	<Phil-T3>	And the one of the questions it raises is if that's what ends up getting created as a multi component issued credential that is signed.
[2021-05-17T22:40:07.960Z]	<Phil-T3>	Then one of the thought principles of the of the wallet, which was to give greater agency to the holder to be able to pick and choose how their capabilities.
[2021-05-17T22:40:19.480Z]	<Phil-T3>	are best representing themselves from their own perspective starts to get compromised, because if they're already packaged up in various combined ways, then they can't really do that.
[2021-05-17T22:40:32.770Z]	<Phil-T3>	So I just wanted to highlight, there is a connection between how the issue we're.
[2021-05-17T22:40:39.550Z]	<Phil-T3>	creates their their credentials as as.
[2021-05-17T22:40:45.250Z]	<Phil-T3>	unique and and focused.
[2021-05-17T22:40:49.180Z]	<Phil-T3>	Statements on a particular topic, and maybe they create multiple of these at the time that.
[2021-05-17T22:40:55.270Z]	<Phil-T3>	For the for the holder, but that they don't necessarily combine them into a common single credential in the process versus giving that common a tutorial capability, leaving that for the holder to do themselves.
[2021-05-17T22:41:11.980Z]	<kimhd>	Okay, these are good points i'm just making a quick section at the beginning of the things that we that we wanted, justice and we can start going through them soon, I just want to make sure we understand this sort of breadth of.
[2021-05-17T22:41:26.290Z]	<kimhd>	Topics first so multiple issuer.
[2021-05-17T22:41:45.430Z]	<kimhd>	I think we had a question from David So the issue on the outside and inside.
[2021-05-17T22:41:51.250Z]	<kimhd>	nate.
[2021-05-17T22:41:52.990Z]	<kimhd>	wrote a clarification, it does mean Okay, the inner issuer is the creator of the badge class versus the outer one is the assertion.
[2021-05-17T22:42:11.920Z]	<kimhd>	What else Okay, I think we got to fill carry I think you're up next.
[2021-05-17T22:42:20.770Z]	<Kerri_Lemoie>	I was thinking about the multiple credentials versus multiple issuers.
[2021-05-17T22:42:26.530Z]	<Kerri_Lemoie>	In regulated vcs are not using the learner rapper we can have multiple credentials, they can go to multiple recipients, which we don't I don't think we wanted to recommend the PC and new.
[2021-05-17T22:42:40.000Z]	<Kerri_Lemoie>	But there is only one issuer in the verifiable credential I feel so that is the big fat is a distinction and it's challenging I know because we have these these examples of self contained credentials and it's imperfect.
[2021-05-17T22:42:54.670Z]	<Kerri_Lemoie>	But it seems, though, in the short term, it might be easier on folks if we just say hey one payload one is sure.
[2021-05-17T22:43:01.570Z]	<Kerri_Lemoie>	To help clarify, you know that they should be the same, or if we decide to do that, that the issue is in the pillars should be the same as the.
[2021-05-17T22:43:10.660Z]	<Kerri_Lemoie>	The authenticating ensure I know only if the car is this gets much more complicated, as the same too, but my understanding of CLS is that that's more of a publisher of.
[2021-05-17T22:43:23.080Z]	<Kerri_Lemoie>	transcript of critical list of whatever impressive array of achievements that could be from different ensures that that is different than what.
[2021-05-17T22:43:31.450Z]	<Kerri_Lemoie>	an array of open badges would be okay and i've heard if I look credential because you could link a bunch of open badges from one issue or inside verifiable credential if you wanted to, but it.
[2021-05-17T22:43:43.630Z]	<Kerri_Lemoie>	may be, that is the case right that is case but also there should be a verifiable presentation pays for the earner who wants to do that themselves.
[2021-05-17T22:43:52.420Z]	<Kerri_Lemoie>	Out there.
[2021-05-17T22:43:56.200Z]	<Phil-T3>	Can I respond to that.
[2021-05-17T22:43:58.510Z]	<kimhd>	Please.
[2021-05-17T22:43:59.230Z]	<Phil-T3>	yeah, I think, where i'm really concerned about.
[2021-05-17T22:44:02.980Z]	<Phil-T3>	is bringing together multiple distinct types of issuers, excuse me, multiple distinct types of.
[2021-05-17T22:44:15.490Z]	<Phil-T3>	payloads I see the badge is one kind of payload.
[2021-05-17T22:44:20.590Z]	<Phil-T3>	A skills and or competency as.
[2021-05-17T22:44:24.880Z]	<Phil-T3>	As a second payload a transcript as a third, and I can understand how they are clearly intimately related as they all represent different aspects of.
[2021-05-17T22:44:35.650Z]	<Phil-T3>	This particular learners experience and and performance in a complex Program.
[2021-05-17T22:44:43.240Z]	<Phil-T3>	But the question that comes up is if they are all presented inside what is effectively the same payload then.
[2021-05-17T22:44:54.190Z]	<Phil-T3>	that's where the issue we're basically, is telling the holder, this is how you have to present yourself from our perspective and I don't believe that that's inappropriate as long as the ability.
[2021-05-17T22:45:06.160Z]	<Phil-T3>	Is there for them to also be able to pick and choose and that's the Agency question i'm sort of concerned about Thank you.
[2021-05-17T22:45:17.980Z]	<kimhd>	So I think in order of kind of how we should tackle them let's see i'm thinking of Kerry made some points that I think are interesting.
[2021-05-17T22:45:32.710Z]	<kimhd>	let's see in terms of okay it vc data model allows certain kind of combinations you know the credential subject array could have multiple recipients, but, but do we actually care about those in our use cases.
[2021-05-17T22:45:50.080Z]	<kimhd>	That you know and that's something we can go back and check our actual use case to see what's going on.
[2021-05-17T22:45:55.210Z]	<kimhd>	Multiple issuers, we can clarify exactly what we mean by that and I think some of this is what has been alluded to, I think that is a discussion that's interesting before we get to verifiable presentation so multiple issuers.
[2021-05-17T22:46:11.470Z]	<kimhd>	interruptions past conversations what's caused a lot of problems is that we're talking about a lot of different kinds of entities, so we already okay let's talk about quickly about multiple issues.
[2021-05-17T22:46:25.660Z]	<kimhd>	We already talked about from a you know sort of like.
[2021-05-17T22:46:32.920Z]	<kimhd>	Okay, given the vc data model, as it is right now, what are different kinds of things that you could express so in the ish in the vc data model, there is let's see where it is let's let's pull up our examples.
[2021-05-17T22:46:52.390Z]	<kimhd>	Let me pull up the link after I talked to it okay so.
[2021-05-17T22:46:57.310Z]	<kimhd>	There are ways to express multiple issuers, one of them is to okay issuers identified by did or by your eyes, so they can be a did so one way like if it's a long term relationship among multiple issuing authorities.
[2021-05-17T22:47:20.230Z]	<kimhd>	You know, you can create a hybrid did that that applies to both of them and then within.
[2021-05-17T22:47:27.370Z]	<kimhd>	The sort of did document, there can be different signing keys for each issuer and you can say things like what the relation.
[2021-05-17T22:47:38.200Z]	<kimhd>	things about like what's expected of the issuing authorities like do you expect all issuing all issues.
[2021-05-17T22:47:45.850Z]	<kimhd>	associated with that did to actually sign the credential is it one of them things like that the other path that we talked about and.
[2021-05-17T22:47:55.900Z]	<kimhd>	i'll pull up the example, for this is that there is talk at the vc data model spec layer for sort of more dynamic associations of issuers where.
[2021-05-17T22:48:07.930Z]	<kimhd>	Within the issuer data structure, there would be a new type that would be like sort of some dynamic issuers hype and then within that you could express who those issues are.
[2021-05-17T22:48:22.600Z]	<kimhd>	Okay, so that's just sort of like sort of.
[2021-05-17T22:48:26.020Z]	<kimhd>	How you say, following your new nose, you know connecting connecting the pieces I think beyond that we get into a discussion of.
[2021-05-17T22:48:35.710Z]	<kimhd>	sort of meaning of what we're trying to express there, so I think that a large part of our confusion or sort of this tension could be addressed by.
[2021-05-17T22:48:48.640Z]	<kimhd>	Just being very precise about what we mean by issuer and then teasing apart, all these other roles that we're talking about.
[2021-05-17T22:48:57.820Z]	<kimhd>	Because I think many of them are not actually meant to be that vc issuer in the sense at least that I think about it.
[2021-05-17T22:49:07.870Z]	<kimhd>	And so I think, maybe just being very precise about what this emergent definition that many of us working on vcs are thinking of.
[2021-05-17T22:49:17.380Z]	<kimhd>	You know, so that we can clarify that role, compared to all the other roles that that might be applicable would be a good way to go.
[2021-05-17T22:49:26.230Z]	<kimhd>	At that point let's see Okay, while I pull up the example let's start Kerri do you mind switching to moderator go through any of the chat that might be discussion points.
[2021-05-17T22:49:40.810Z]	<Kerri_Lemoie>	i'm not sure where to start here.
[2021-05-17T22:49:46.540Z]	<Kerri_Lemoie>	You must share.
[2021-05-17T22:49:48.370Z]	<Kerri_Lemoie>	With someone in the chat like to start, maybe with somebody you know we have a lot going on in here okay.
[2021-05-17T22:50:00.490Z]	<Kerri_Lemoie>	definitely be drinking more coffee this morning i'm saying.
[2021-05-17T22:50:08.380Z]	<kimhd>	Well, actually, I do have the example, let me.
[2021-05-17T22:50:14.950Z]	<kimhd>	But I also need coffee too so Okay, so we, we have already in the you know this document.
[2021-05-17T22:50:27.340Z]	<kimhd>	This sort of joint issuer thing, so we talked to about Okay, one issue, or we didn't get into defining exactly what it means so there's Okay, create a merged entity, comprising multiple issues that's the merge really sort of lovely joint issuing.
[2021-05-17T22:50:45.280Z]	<kimhd>	The idea, the other one is this.
[2021-05-17T22:50:48.970Z]	<kimhd>	joined issue or type, which is being discussed at the vc data model layer because it's not just us, you know so there's I guess.
[2021-05-17T22:50:57.550Z]	<kimhd>	is totally separate issue of you know, do we take this on here, or do we sort of join in the broader discussion so okay issuer and then, in that case, it would be sort of like this.
[2021-05-17T22:51:14.410Z]	<kimhd>	You know, a type.
[2021-05-17T22:51:17.080Z]	<kimhd>	Oh yeah actually this name doesn't make sense, it would be something more like some joint degree issuer.
[2021-05-17T22:51:24.700Z]	<kimhd>	And then this could be something that that we define and then we say like who the participants are, but the difference between this in bullet point one is that this allows sort of more dynamic formations of issues.
[2021-05-17T22:51:40.210Z]	<kimhd>	Okay, let me go back then to.
[2021-05-17T22:51:44.440Z]	<kimhd>	The discussion which I enter.
[2021-05-17T22:51:47.350Z]	<Kerri_Lemoie>	Sorry i'm going to mix up just in response to this just before you move from this page, I want to make sure that I understand it, so my understanding from this is that the joint issues could be.
[2021-05-17T22:52:00.850Z]	<Kerri_Lemoie>	Like a consortium of issues, who have decided together that they are going to issue these credentials, but not that it's different issuers for the credentials themselves.
[2021-05-17T22:52:11.200Z]	<Kerri_Lemoie>	Meaning that there could be separate credentials and each one is a different issue but that's not what is meant by this night.
[2021-05-17T22:52:18.910Z]	<kimhd>	Actually, that what you described this more relevant for the first example where it's like.
[2021-05-17T22:52:26.710Z]	<kimhd>	let's see I think in let's pull this one up actually because I think the intent of this one is that.
[2021-05-17T22:52:35.890Z]	<kimhd>	let's see oh Anthony Anthony are you here.
[2021-05-17T22:52:43.930Z]	<kimhd>	i'm not sure if anthony's here today.
[2021-05-17T22:52:45.700Z]	<Kerri_Lemoie>	I don't see him on here yeah.
[2021-05-17T22:52:49.060Z]	<Kerri_Lemoie>	Okay today.
[2021-05-17T22:52:49.960Z]	<kimhd>	My thought is that the intent of this is that you know so, so I think that you could do that but I thought the intensive it was for something where multiple signatures are in fact provided on in the proof array.
[2021-05-17T22:53:08.530Z]	<kimhd>	So it doesn't nothing at the vc data model then talks about okay so here here's another angle to get into.
[2021-05-17T22:53:19.540Z]	<kimhd>	The vc data model just doesn't care they don't care about us so so that's fine because they, let us do whatever he wants some extent, so if we did this, you know something like this that's all linked data we get.
[2021-05-17T22:53:34.900Z]	<kimhd>	To find what that is, we can say things like okay in this issue or type that we're defining you know through data.
[2021-05-17T22:53:45.490Z]	<kimhd>	This is the sort of role like here's who you would expect to see in the participant right it's right to meet sure you don't care.
[2021-05-17T22:53:56.770Z]	<kimhd>	So yeah you can say like would expect both of these signatories, one of them, you might say things like it might get into topics that they well this isn't exactly what Kerry mentioned but.
[2021-05-17T22:54:12.280Z]	<kimhd>	You might end up saying like adding new types or new terms on it's saying here all of the authorities, it went through before the actual issuance so like while these.
[2021-05-17T22:54:27.490Z]	<kimhd>	While their signatures may not be on it, it might express something about like the trust group or the the processes through which it got to the final point that it could be signed.
[2021-05-17T22:54:40.090Z]	<kimhd>	So I think that there's that whole workflow around like what happens before it gets to the issuing stage that the vc data model is really letting us do whatever we want so so that's where I think that.
[2021-05-17T22:54:58.330Z]	<kimhd>	let's see I think that's where we can just afford to be a lot more kind of.
[2021-05-17T22:55:05.650Z]	<kimhd>	focus on the use cases a bit as opposed to trying to come up with some blanket structural thing because really we.
[2021-05-17T22:55:14.770Z]	<kimhd>	It can vary, we have a lot of control, so I think like the problem that we've gotten into is is we try to say, well, what about this, but we're not being precise when we say what about this.
[2021-05-17T22:55:26.020Z]	<kimhd>	Then, we end up chasing all different examples so that's just my take on it.
[2021-05-17T22:55:31.120Z]	<kimhd>	So i'd rather us kind of get into some specific like when we get into multiple issues i'd rather us just say like what about this us, what about these use cases with multiple issues, and then we can start going through exactly what that means.
[2021-05-17T22:55:47.320Z]	<kimhd>	So that's just my take on it, because I don't think we're making progress on the multiple issues, otherwise.
[2021-05-17T22:56:01.750Z]	<Phil-T3>	Go ahead, well, I was just gonna say it in many ways, one of the challenges, is that we can't know all the different kinds of complexities of issue or type that will that we will likely run into and for reasons outside of our control political or otherwise.
[2021-05-17T22:56:19.630Z]	<Phil-T3>	we'll have to somehow be represented.
[2021-05-17T22:56:22.810Z]	<Phil-T3>	And so I like the idea of of some kind of much like we were talking about in terms of credential types, that you can point to and have a a.
[2021-05-17T22:56:33.670Z]	<Phil-T3>	definition that for each of the ones that emerged that is relevant and can be incorporated into the.
[2021-05-17T22:56:40.330Z]	<Phil-T3>	into the credential as a as a way of making that a dynamic thing but but start with a couple of clear use cases that reflect known credential types or excuse me issue or types were issue or patterns, as you describe them.
[2021-05-17T22:56:57.610Z]	<Phil-T3>	So that we handle the things that people are kind of sensitive to and are needing to see themselves representative without closing the door on things we can anticipate.
[2021-05-17T22:57:08.950Z]	<kimhd>	we're getting close to time, I think that Next, I think we are at a state where next meeting, we should definitely go over verifiable presentations because I think that now it's appearing that.
[2021-05-17T22:57:22.900Z]	<kimhd>	Some of these discussions are just kind of blocked on the idea of the assumptions around publisher versus you know what sort of verifiable presentations does.
[2021-05-17T22:57:33.700Z]	<kimhd>	didn't Jim goodell mentioned if we explore other approaches to rapper making sure different types of payloads can be handled, I think the The thing that I think a decision, we can make, as of today, because it will.
[2021-05-17T22:57:47.020Z]	<kimhd>	improve our way of thinking, a lot would be saying it's a rapper and other things, so I think la la rapper is fine as a catch all it's out in the world.
[2021-05-17T22:57:58.930Z]	<kimhd>	it handles different payloads, but I think that you know there's this other paths that we're talking about for say open badges so it has the downsides that we're.
[2021-05-17T22:58:11.470Z]	<kimhd>	That we're talking about, and you know for something like open badges maybe we want some more first class open badge vc integration and maybe other standards do too, I think that that's fine.
[2021-05-17T22:58:24.640Z]	<kimhd>	You know, and I think that we don't need to make decisions that like we're not using le are rapper anymore, I think we just need to be very precise about when which are useful and relevant I would be very curious to hear if if that's caught, I mean I realized that comes at the cost of.
[2021-05-17T22:58:46.540Z]	<kimhd>	You know there's more there's maybe that's more confusing in the world like to say, like Okay, this one is acceptable in these use cases otherwise, but I think that we will need that sort of other payload exists.
[2021-05-17T22:59:02.080Z]	<kimhd>	Other like non JSON-ld payload type and we should just you know we have a way to address it already unless we want to come up with some other approach that sort of competes with the rapper I would say that we just use la rapper.
[2021-05-17T22:59:24.190Z]	<kimhd>	So in that that's a good way to make sure that there's no discussion on those decisions that I just threw out just now, but maybe over the next week let's let's talk about those statements.
[2021-05-17T22:59:38.050Z]	<kimhd>	and work through the verifiable in next week we'll talk about verifiable presentations.
[2021-05-17T22:59:44.620Z]	<kimhd>	And I think we can continue to start teasing apart, what are the paths that we want to support.
[2021-05-17T22:59:55.000Z]	<Kerri_Lemoie>	sounds great.
[2021-05-17T22:59:58.450Z]	<kimhd>	Okay, thanks everyone thanks Kerri This is very helpful.
[2021-05-17T23:00:02.230Z]	<Kerri_Lemoie>	yeah I really appreciate the discussion everybody, thank you.
[2021-05-17T23:00:19.000Z]	<Phil-T3>	cheers everyone.
[2021-05-17T23:00:19.001Z]  <kimhd> Additional Notes: pros and cons of different approaches, contributed by meeting attendees (view only) https://docs.google.com/document/d/1RfR7hHY7PUAUDXIIDXMhFgspjj11IZvi5VMnyQtuwFo/edit#heading=h.q1257zfxv2u7
[2021-05-17T23:00:20.000Z]	<kimhd>	present+ kimhd, adamjlemmon, ottonomy, Phil-T3, bshambaugh, dmitriz, Jim_Goodell, JohnGasper, JeffMcCullough, JimKelly, keith_kowal, juan_caballero, Kerri_Lemoie, marty_reed, Simone_Ravaioli, matt_lisle, jameschartrand, stuartf, Phil-T3_Barker, StuartSutton, tayken, dward, jarlath, nick_hathaway, kezike, Balazs_, victoria_feng, pete_M, andy_miller_ims, rjbarfoo
