[Thu 13:06:04] <manu>	Agenda: https://docs.google.com/document/d/1je9Bnhe-1tLgP1bfCSUjvbQ_qllwCz042aGncWX7Uio/edit
[Thu 14:09:22] <cwebber>	there may be motivation to provide all these DIDs
[Thu 14:09:38] <ChristianLundkvist>	Strongly disagree about putting DID resolution in blockchain nodes
[Thu 14:10:10] <manu>	dlongley: For example, if all DID Methods  -- lightweight protocol on HTTP... applications want to use any data across DID method, implement HTTP GET - don't want to reopen #1, but a piece of that might be that resolvers then place signatures on DID Document that come back and that's part of authenticatoin method, trust resolver, trust authentication that came back - sigs appear on DID Docs as they come back from resolvers... run a full node for this - people aren't going to do that for lots of apps.
[Thu 14:10:11] <sabadello>	agree with dlongley that resolvers can be run as a cloud service
[Thu 14:10:15] <drummond>	Resolvers adding signatures? From the resolver itself?
[Thu 14:10:34] <manu>	dlongley: To accept users ... we want interop - we're missing critical peice of architecture, push stuff into ledgers or resolvers are services.
[Thu 14:10:39] *	manu missed a ton of that dlongley.
[Thu 14:10:51] <cwebber>	but +1 we need a way that people can use resolvers, and we need a way to have general-cross-interoperability
[Thu 14:10:55] <mike-lodder>	q?
[Thu 14:10:55] <voip-ccg>	The current speaker queue is: drummond, ChristianLundkvist
[Thu 14:11:19] <mike-lodder>	Then we need to be able to verify the resolver results
[Thu 14:11:26] <manu>	dlongley: We want to push complexity to DID Methods, not resolvers.
[Thu 14:11:52] <manu>	q+ to ask if we can stick to items we need consensus on.
[Thu 14:11:52] <voip-ccg>	manu has been added to the queue: drummond, ChristianLundkvist, manu
[Thu 14:11:58] <manu>	ack drummond 
[Thu 14:11:58] <voip-ccg>	drummond has the floor.
[Thu 14:12:38] <manu>	drummond: For two steps - client / app talking to resolver - lightweight protocol there - Markus made the point, multiple configurations - because of the crypto involved, where the verification takes place - DID Spec, defines conformance targets.
[Thu 14:12:48] <manu>	drummond: Say "here are the different configurations"
[Thu 14:13:38] <manu>	drummond: Can work w/ Markus - you cover those so you are defining ways to resolve a DID, and refer to conformance targets... if you talk to resolver, that's how X is done, if you're adding signature, that's how Y is done - I don't think anyone is saying we should do it all at ledger/client ... all 3 are possibilities.
[Thu 14:14:19] <manu>	drummond: We can put that back out as topic - define different configs - conformance targets for implementers of spec and we need to do it in the spec. DID Docs / Methods and resolution - tackle that in context of definitions.
[Thu 14:14:22] <cwebber2>	q?
[Thu 14:14:22] <voip-ccg>	The current speaker queue is: ChristianLundkvist, manu
[Thu 14:14:23] <manu>	ChristianLundkvist: What do you mean by that?
[Thu 14:14:27] <manu>	ack ChristianLundkvist 
[Thu 14:14:28] <voip-ccg>	ChristianLundkvist has the floor.
[Thu 14:14:37] <manu>	ChristianLundkvist: If you have DID Method, it's only valid if you run a full node?
[Thu 14:15:05] <dlongley>	perhaps we want a DID resolution spec instead -- where DID methods would define a mapping to a common protocol
[Thu 14:15:24] <cwebber2>	+1 to a DID resolution spec
[Thu 14:15:28] <dlongley>	and not mention this in the DID spec (other than to say "look over here for interoperable DID resolution")
[Thu 14:15:31] <mike-lodder>	This distinction seems more important to a library implementation, rather than the method spec itself
[Thu 14:15:34] <cwebber2>	q+ to say there are two major questions: is there a general purpose protocol for retrieving DIDs, and what are the economics of doing that work
[Thu 14:15:34] <voip-ccg>	cwebber2 has been added to the queue: manu, cwebber2
[Thu 14:15:50] <manu>	drummond: Resolvers that have different capabilities - client, DID Method can talk directly to target system - resolver, resolver is local... resolver is in cloud... resolver in cloud but light client - all of these configurations - there is a standard set of options.
[Thu 14:16:28] <dlongley>	we're going to end up creating a centralized point of failure if we do that -- markus.
[Thu 14:16:40] *	ChristianLundkvist has quit (Ping timeout: 180 seconds)
[Thu 14:16:41] <dlongley>	everyone is going to want to use a monolithic resolution service
[Thu 14:16:50] <manu>	drummond: The reason we need to define those config options is so a DID Method spec - for pattern A, this is how you do that, for pattern B, this is how you do it - method spec don't have to recreate wheel.
[Thu 14:17:04] <manu>	drummond: We did a simpler version of this for XRDS
[Thu 14:17:28] <manu>	sabadello: I think we can define common interface for talking to resolver 
[Thu 14:18:28] <manu>	dlongley: I want us to be aware of making resolution too heavyweight - we might create a single point of failure... might recreate a problem. Don't want us to get totally derailed.
[Thu 14:18:29] <manu>	q?
[Thu 14:18:29] <voip-ccg>	The current speaker queue is: manu, cwebber2
[Thu 14:18:33] <manu>	ack manu
[Thu 14:18:33] <voip-ccg>	manu has the floor (to ask if we can stick to items we need consensus on.).
[Thu 14:18:40] <cwebber2>	q-
[Thu 14:18:40] <voip-ccg>	cwebber2 has been removed from the queue:
[Thu 14:18:53] <dlongley>	manu: I originally put myself on the queue to say exactly that. DID resolution sounds like a full on sprint and we need to walk and maybe run.
[Thu 14:18:59] *	ChristianLundkvist (~ChristianLundkvist@public.cloak) has joined #ccg
[Thu 14:19:01] <ChristianLundkvist>	q?
[Thu 14:19:01] <voip-ccg>	The speaker queue is empty.
[Thu 14:19:13] <dlongley>	manu: If we could have the rest of the folks in the group pull us back to the items we're talking about -- because meandering conversations don't help on spec text.
[Thu 14:19:32] <manu>	Topic: Optional ID Property for the DID
[Thu 14:19:43] *	manu no problem markus_sabadello -- just q+ when you want to talk.
[Thu 14:19:45] *	dlongley no worries markus, just type "q+" to get on the queue
[Thu 14:19:49] <manu>	q+ to provide input on #2
[Thu 14:19:52] <voip-ccg>	manu has been added to the queue: manu
[Thu 14:19:58] <cwebber2>	q+
[Thu 14:19:58] <voip-ccg>	cwebber2 has been added to the queue: manu, cwebber2
[Thu 14:20:04] <drummond>	+1 to making sure to focus on the spec using cloud-based resolvers does not reintroduce centralization.
[Thu 14:20:39] <dlongley>	manu: Yes, I disagree with having the ID be optional. Playing off a number of things I heard on the call today. One of the purposes of the DID document is to provide a common piece of data an application can use regardless of the DID method that's behind it. The closer the DID docs look between multiple systems, the easier it is for the ecosystem to use them.
[Thu 14:20:50] <drummond>	Ah-ha! Light bulb. If we specify a two-step resolution process, then the DID doc CAN require the DID.
[Thu 14:20:52] <dlongley>	manu: Let's make it look almost identical, that's a design goal even if we can't fully actualize it.
[Thu 14:21:15] <dlongley>	manu: Making it optional is because there's an "emergent" value that is the ID.
[Thu 14:21:40] <dlongley>	manu: I'm thinking about BTC-R there's this initial bootstrapping process and you don't know the ID until it's created after the fact. But would you ever have an application ask a resolver for something ... it has an ID it's asking for.
[Thu 14:21:47] <drummond>	q+
[Thu 14:21:47] <voip-ccg>	drummond has been added to the queue: manu, cwebber2, drummond
[Thu 14:21:48] <dlongley>	manu: So you would expect the DID doc to have the ID in it when it resolves.
[Thu 14:21:58] <dlongley>	manu: I can't think of any DID method where it's optional.
[Thu 14:22:42] <dlongley>	buchner: Composition of merkle root hash and [missed details while listening]
[Thu 14:22:53] <manu>	ack manu
[Thu 14:22:53] <voip-ccg>	manu has the floor (to provide input on #2).
[Thu 14:22:56] <dlongley>	manu: But you can add the ID later.
[Thu 14:23:02] <dlongley>	buchner: But the payload may be signed.
[Thu 14:23:12] <dlongley>	(and adding the ID could affect the validity)
[Thu 14:23:44] <dlongley>	cwebber2: It's completely reasonable that you could have an emergent document so you can't have ID when you generate it, but you can always tack on the ID when you hand it over to the user. Even if there was no way to have the ID until you do all the generation.
[Thu 14:23:56] <drummond>	I agree with Manu's point that the resolver will ALWAYS have the DID, regardless of whether it is emergent. This is why a two-step resolution process makes sense.
[Thu 14:24:07] <drummond>	q?
[Thu 14:24:07] <voip-ccg>	The current speaker queue is: cwebber2, drummond
[Thu 14:24:12] <dlongley>	?: If you're trying to validate this, maybe or maybe not, but if you're trying to ensure that hashes match up -- removing the ID to check things would have to be known to the client.
[Thu 14:24:12] <manu>	ack cwebber2 
[Thu 14:24:12] <voip-ccg>	cwebber2 has the floor.
[Thu 14:24:32] <manu>	ack drummond 
[Thu 14:24:32] <voip-ccg>	drummond has the floor.
[Thu 14:24:38] <dlongley>	cwebber2: I don't see any reason why that wouldn't be possible [to include those instructions to remove the ID before doing validity checks].
[Thu 14:24:55] <dlongley>	yes, we need to think about this in terms of resolution more than in terms of DID methods!
[Thu 14:24:59] <dlongley>	that's where the interop is.
[Thu 14:25:17] <manu>	drummond: This further enforces concept of two-step resolution process - you don't have to stick in another component, two step can be implemented directly by a client... two steps are separating execution of method, and whatever is returned.
[Thu 14:26:03] *	ChristianLundkvist has quit (Ping timeout: 180 seconds)
[Thu 14:26:03] <dlongley>	q?
[Thu 14:26:03] <voip-ccg>	The speaker queue is empty.
[Thu 14:26:06] <dlongley>	q+
[Thu 14:26:06] <voip-ccg>	dlongley has been added to the queue: dlongley
[Thu 14:26:11] <manu>	drummond: Here's a common metadata that needs to be returned, here's what needs to be returned by target system - I think we can all agree on that - DIDs are emergent property, Sam's got use cases aroudn that - that's cool, that can happen in step 1... but step 2 is where the DID Method thing comes in.
[Thu 14:26:48] <manu>	drummond: Getting back to point - app can make its own security decisions on what resolver it trusts for what verification... or needs to talk to full node, or resolver - resolver code is in me - I'll trust it...
[Thu 14:27:16] <manu>	dlongley: Completely agree with that - We don't care what DID Methods do, but DID DOcuments are what pops out and that's what we're trying to standardize.
[Thu 14:27:55] <manu>	dlongley: These are the checks I did, there are a variety of thigns we can do that - what's going on w/ DID Methods, etc. We care about same DID Document pops out on other side - includes whatever information is necessary.
[Thu 14:28:10] <manu>	drummond: Resolver could add signature? You said that earlier.
[Thu 14:28:24] <manu>	dlongley: It could be, there might be a variety of ways to do that.
[Thu 14:28:25] <manu>	q+
[Thu 14:28:25] <voip-ccg>	manu has been added to the queue: dlongley, manu
[Thu 14:28:27] <manu>	ack dlongley 
[Thu 14:28:27] <voip-ccg>	dlongley has the floor.
[Thu 14:29:00] <manu>	drummond: Some might have thought of signature on DID Document coming from resolver, some from ledger... we want everything to create similar documents.
[Thu 14:29:11] *	cwebber2 interop not interflop!
[Thu 14:29:44] *	mike-lodder how did we get back to talking about the resolver ;)
[Thu 14:30:52] *	dlongley mike-lodder -- i think much of what we've been saying is in the DID-method domain is really about coming to agreement on what happens when you resolve a DID.
[Thu 14:31:10] *	dlongley but yes, we're bad at staying on topic :)
[Thu 14:31:28] <manu>	SamSmith: One of the suggestions was that there be an ID field that has the DID, but the DID might not be the actual DID, but the type or algorithm to generate the DID.
[Thu 14:31:37] *	mike-lodder dlongley I agree with your first statement
[Thu 14:32:08] *	manu all roads lead to a discussion about the resolver.
[Thu 14:32:15] *	cwebber2 agrees with both statements :)
[Thu 14:32:48] <manu>	SamSmith: I'm fine w/ supporting the concept that we're talking about final document that's resolved, not some interim version.
[Thu 14:33:00] *	mike-lodder dlongley that DID-method domain is about coming to agreement on what happens when you resolve
[Thu 14:33:09] <dlongley>	the "mapping" from however things are stored by a particular DID method to how you get to the "resolved" DID document is up to the method... but it does need to say it
[Thu 14:33:23] <manu>	q+ to note that a DID Method spec can provide the interim docs and do whatever they want for internal purposes.
[Thu 14:33:23] <voip-ccg>	manu has been added to the queue: manu, manu
[Thu 14:33:26] <manu>	ack manu
[Thu 14:33:26] <voip-ccg>	manu has the floor.
[Thu 14:33:45] <manu>	q- manu to note time.
[Thu 14:33:45] <voip-ccg>	manu has been removed from the queue:
[Thu 14:34:16] <manu>	drummond: What is the best way to continue discussion of next 3 items?
[Thu 14:36:39] *	mike-lodder has quit ("Leaving")
[Thu 14:37:46] <manu>	SamSmith: How do we update the hardening proposal?
[Thu 14:37:55] <manu>	drummond: Add change suggestions to docs, try not to use only comments.
[Thu 14:38:11] <manu>	dlongley: Use the suggest feature, easier to find stuff.
