[2024-06-03T14:54:09.188Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Jun/0000.html

[2024-06-03T14:54:19.188Z]	<Simone_Ravaioli> Good morning, good afternoon everyone. This is Simone speaking, today chairing our Monday call with the W3C Verifiable Credentials for Education task force. Today is June the 3rd. Let's just get started with the housekeeping items. IP Note: Anyone can participate in these calls. However, all substantive contributions to any Credentials Community Group Work Items must originate from members of the CCG with full IPR agreements signed. You can find the link to this in the meeting invites. You'll need to have a W3C account, that is also something easy to do online. Moving on to call notes. Please note that these meetings are recorded. We have a robot transcriber and we also make audio and video recordings, that are archived and available online. If you want to speak, please raise your hand, or add yourself to the queue by typing “q+” in the chat. And please be brief if you have a question to ask, we want to maximise the time for conversations. Thank you. Now to Introductions & Reintroductions. If we have any new people in the call, or somebody would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to announcements and reminders. Anyone has events or things that happened that people should be aware of, again, please queue yourself up and share the news with us. Now we can move on to the main agenda topic, that is Learning and Employment Record Resume Standard (LER-RS).
[2024-06-03T15:32:46.576Z]	<Transcriber>	Karen_Passmore: And from here they can then choose to add portfolio items and this is an optional step so if they have videos or photographs or um anything that they want to point to online they can add those items here and this would create URLs within their uh linked claim.
[2024-06-03T15:33:00.643Z]	<Transcriber>	Karen_Passmore: And they can add as many of these as they want so in this example I'm just adding a video of the perfect shot of espresso and I point to the URL of that video and then if I want to add another I can simply tap this link and then it can add more.
[2024-06-03T15:33:00.993Z]	<Transcriber>	Karen_Passmore:  and from.
[2024-06-03T15:33:03.164Z]	<Transcriber>	Karen_Passmore: Here we asked.
[2024-06-03T15:33:16.146Z]	<Transcriber>	Dmitri_Zagidulin: Wait wait I want to I want to pause uh super quick on on the screen here uh so this is this is the the 1 of the things that Phil was emphasizing was talking about when creating selfish credentials right.
[2024-06-03T15:33:27.099Z]	<Transcriber>	Dmitri_Zagidulin: There's a lot of sort of unknown and a lot of questions with regards to selfish or credentials in general like what sort of value do they bring.
[2024-06-03T15:33:31.583Z]	<Transcriber>	Dmitri_Zagidulin: And 1 of our 1 of our answers to that is twofold.
[2024-06-03T15:33:35.587Z]	<Transcriber>	Dmitri_Zagidulin: The selfish credentials are as good as 2 things.
[2024-06-03T15:33:41.101Z]	<Transcriber>	Dmitri_Zagidulin: This is this is what we're we're doing here.
[2024-06-03T15:33:41.221Z]	<Ildiko_Mazar>	Would this duration setting then result in a static value, that may be disadvantageous with ongoing practiced skills?
[2024-06-03T15:33:55.674Z]	<Transcriber>	Dmitri_Zagidulin: Take a video of your skill link to a performance appraisal uh to an essay that you wrote to a GitHub repo so this is this is that screen so this is 1 of the 2 sort of main weight bearing.
[2024-06-03T15:33:57.686Z]	<PL/T3>	As we'll mention later we're also looking at the Competency Explorer which is a query interface to a federated set of skill repositories which one, from LinkedClaims, could issue a query to and pull back the structure skill definition from one of the repos in that federated network.
[2024-06-03T15:34:00.390Z]	<Nate_Otto>	Are you interested in the ability to link to a skills library so (a) the user doesn't have to supply the skill name and description themselves, and (b) it can be the same skill definition already in use or available for use within job descriptions?
[2024-06-03T15:34:04.120Z]	<Transcriber>	Dmitri_Zagidulin: Uh features of self uh selfish credentials and then the other 1 of is of course recommendations uh which we'll see later on that's it.
[2024-06-03T15:34:04.834Z]	<Transcriber>	Karen_Passmore:  thank you that.
[2024-06-03T15:34:06.570Z]	<Transcriber>	Karen_Passmore: That's a great call out.
[2024-06-03T15:34:11.633Z]	<Dmitri_Zagidulin>	@Nate - very much so!
[2024-06-03T15:34:28.159Z]	<Transcriber>	Karen_Passmore: So from here after they added their evidence we asked them if they want to add a main image to their credential so this is really just about you know design and formatting and making it present nicely if they want to add an image here and the idea is they could point to really any image that they have or you know they could even go out to something like unsplash and you know grab a an image from their.
[2024-06-03T15:34:41.399Z]	<Dmitri_Zagidulin>	@Ildiko - GREAT question (with regards to duration vs ongoing skills!)
[2024-06-03T15:34:54.765Z]	<PL/T3>	@Nate - note my call out to the C3 federated repository project.
[2024-06-03T15:35:29.055Z]	<Transcriber>	Karen_Passmore: And then if they select next they can see the credential that they've created so we have our main image that has been added here um the person's name has claimed basic Barista training uh how many days it took and then the it has their description and then how they earned the skill and a link to any portfolio items and then beneath that we make sure that they're aware that by selecting this box you understand that you are creating a public link to this credential so they know that this is this is now a publicly available link and they can choose not to do that if they want to and at any point during the creation of this credential they can save and exit or they can you know go back to another step and make some edits if they're not happy with the way that this looks but if they are happy with everything they can select finish and sign and it saves it to their Google Drive and so now they've uh saved their achievement and we're exploring whether or not we're going to promote sharing this on social media um so that's that's a conversation that we're having but if we don't the minimum they would see.
[2024-06-03T15:35:29.737Z]	<Transcriber>	Karen_Passmore:  some visual represent.
[2024-06-03T15:35:33.125Z]	<Transcriber>	Karen_Passmore: Within this app of the credential that they've created.
[2024-06-03T15:35:38.105Z]	<Transcriber>	Karen_Passmore: Um when they select this they can copy the link to that credential.
[2024-06-03T15:35:38.403Z]	<Transcriber>	Karen_Passmore:  and then.
[2024-06-03T15:36:02.155Z]	<Transcriber>	Karen_Passmore: And then as a next step we want to encourage them to go get a verified reference so get a recommendation today and if they select that button it takes them into a flow where we've just provided them with some copy that they can um actually literally copy we've given them some text along with a link to um send someone to a place where they can write up the recommendation which would take them the.
[2024-06-03T15:36:27.174Z]	<Transcriber>	Karen_Passmore: Recipient back to the linked claims application to write a recommendation that could get then attached to the original credential so the user can choose to copy this text and then paste it into their uh Native email client and so they would copy this text and then um when they're done we would just say oh you've requested a reference now we're not able to track this at this point um.
[2024-06-03T15:36:27.812Z]	<Transcriber>	Karen_Passmore: I can let.
[2024-06-03T15:36:31.607Z]	<Transcriber>	Karen_Passmore: To me to speak to that so that's the entire flow that we have so far.
[2024-06-03T15:37:24.489Z]	<Transcriber>	Dmitri_Zagidulin: Thank you so much Karen so we had a couple of uh really good questions in the chat so ilao brought up a great point about ongoing durations right so what to do when like it's 1 thing if I took a 5-day intensive course in I don't know espresso making and it's another thing when it's I've been practicing this uh since uh 2023 ongoing up till now right and and it's important so 1 that that's a that's a great design consideration for everyone dealing with these skills uh the main thing is that um main thing to note is that that duration skill is free form text right so I can say 2023 till now right I I can indicate or rather I have as much flexibility to indicate that it is an ongoing skill as I do in like a Word document resume.
[2024-06-03T15:37:28.283Z]	<Transcriber>	Dmitri_Zagidulin: Uh so that's that thought number 1 uh.
[2024-06-03T15:37:41.313Z]	<Transcriber>	Dmitri_Zagidulin: And then the second question uh was from Nate Auto on whether we're interested in uh sort of integrating with or linking to uh skills repositories since that's 1 of the major.
[2024-06-03T15:37:47.835Z]	<Transcriber>	Dmitri_Zagidulin: I I don't want to say unsolved but that's the heavier uiux lift.
[2024-06-03T15:37:49.975Z]	<Transcriber>	Dmitri_Zagidulin: Of how do we.
[2024-06-03T15:37:54.491Z]	<Transcriber>	Dmitri_Zagidulin: How do we walk in the fine line between making it user-friendly.
[2024-06-03T15:37:54.692Z]	<Transcriber>	Dmitri_Zagidulin:  right so like.
[2024-06-03T15:37:58.490Z]	<Transcriber>	Dmitri_Zagidulin: On on the user-friendly access free form text like.
[2024-06-03T15:38:11.016Z]	<Ildiko_Mazar>	+1 for Nate's question - referencing published skill taxonomies I find quite important.
[2024-06-03T15:38:11.185Z]	<Transcriber>	Dmitri_Zagidulin: How to pour an espresso right like that's that's 1 definition of a scale and then on the other end of the formal spectrum is uh linking into a um Federal.
[2024-06-03T15:38:17.173Z]	<Transcriber>	Dmitri_Zagidulin: Skill code repository and and say okay this is skill 1 2 3.
[2024-06-03T15:38:24.691Z]	<Transcriber>	Dmitri_Zagidulin: As codified by this and this directory right so yeah we're definitely interested in um.
[2024-06-03T15:38:31.845Z]	<Transcriber>	Dmitri_Zagidulin: Linking to an integrating with any sort of existing skill repositories.
[2024-06-03T15:38:32.184Z]	<Transcriber>	Dmitri_Zagidulin:  uh yeah.
[2024-06-03T15:38:36.589Z]	<Transcriber>	Dmitri_Zagidulin: Yeah please please yeah mhm.
[2024-06-03T15:39:06.582Z]	<Transcriber>	PL/T3: I can jump in here and say that um we actually have or or ranging a call because as you probably know the um C3 community at T at T3 uh has been working for a while now on a Federated skill uh repository network uh with a qu with a user interface query environment uh system called uh competency Explorer is that if I've got that right and um and the question that we're exploring and just and and going to have an a conversation with the developers of that.
[2024-06-03T15:39:53.089Z]	<Nate_Otto>	That means referencing skills by URLs (not just names and descriptions that are not as suitable for matching). Skills libraries include https://lightcast.io/open-skills and https://www.wgu.edu/lp/general/wgu/skills-library.html and https://www.openrsd.com/ -- the main benefit being that the same skill definition can be used in multiple places.
[2024-06-03T15:39:54.474Z]	<Ildiko_Mazar>	:+1: Thanks, @Phil.
[2024-06-03T15:39:54.626Z]	<Transcriber>	PL/T3: Can we put in a link or uh uh to that particular Federated search uh system from within this app and or provide a UI that can be translated into a query for that particular Network and that we hope will be something that we will be um pursuing actively because you're absolutely right there is a number of different places where we would like the individual to have an option to put in a structured representation that follows some ontology or taxonomy of of skill descriptions that might also be available to people who are issuing credentials from an institution or what have you um to draw from so we definitely interested in doing that and have a conversation scheduled thanks.
[2024-06-03T15:40:00.953Z]	<Transcriber>	PL/T3: Okay um at this point.
[2024-06-03T15:40:02.545Z]	<Transcriber>	Dmitri_Zagidulin: 1 SEC 1 SEC um.
[2024-06-03T15:40:02.880Z]	<Transcriber>	Dmitri_Zagidulin:  I I just.
[2024-06-03T15:40:05.699Z]	<Transcriber>	Dmitri_Zagidulin: Want to address uh.
[2024-06-03T15:40:11.574Z]	<Transcriber>	Dmitri_Zagidulin: Karen's comment about being able to track I hold on I'm just reading uh Nate's.
[2024-06-03T15:40:15.071Z]	<Transcriber>	Dmitri_Zagidulin: Comment in chat referencing skill by URL.
[2024-06-03T15:40:20.066Z]	<Transcriber>	Dmitri_Zagidulin: Excellent yeah thank uh thanks Nate we'll we'll definitely take a look at uh.
[2024-06-03T15:40:20.397Z]	<Transcriber>	Dmitri_Zagidulin:  those links.
[2024-06-03T15:40:25.550Z]	<Transcriber>	Dmitri_Zagidulin: And as as always we'd love to work with you on uh.
[2024-06-03T15:40:25.790Z]	<Transcriber>	Dmitri_Zagidulin:  on any of.
[2024-06-03T15:40:34.827Z]	<Transcriber>	Dmitri_Zagidulin: That uh real quick uh Karen's um comment about that we're not uh tracking the whether or not.
[2024-06-03T15:40:36.076Z]	<Deb_Everhart_(Credential_Engine)>	that can also be done by linking to individual competencies in CTDL, using the CTID as a unique reference
[2024-06-03T15:40:37.288Z]	<Transcriber>	Dmitri_Zagidulin: Person received and.
[2024-06-03T15:40:49.498Z]	<Transcriber>	Dmitri_Zagidulin: Uh responded to the recommendation request so 1 of the 1 of the main design choices that uh we we followed closely here is that this is purely.
[2024-06-03T15:40:56.667Z]	<Transcriber>	Dmitri_Zagidulin: Compliance side application meaning we don't run a server or a database on the back end so.
[2024-06-03T15:41:29.899Z]	<Transcriber>	Dmitri_Zagidulin: You don't create an account we don't store the credentials for you we don't track the recommendation requests and the responses right so this is maximally privacy preserving meaning when you hit request a recommendation it opens up it's a male tool link it opens up your email client so that you can email your professor or your your friend or whatever whoever you're asking for the recommendation right and similarly uh since we don't access your email inbox we don't know when they reply etc etc now we have a minimal amount of um.
[2024-06-03T15:41:34.919Z]	<Transcriber>	Dmitri_Zagidulin: Not tracking of um.
[2024-06-03T15:41:42.956Z]	<Transcriber>	Dmitri_Zagidulin: Statistics but as much as possible this is uh this is meant to be privacy preserving Karen did you have any uh.
[2024-06-03T15:41:46.976Z]	<Transcriber>	Dmitri_Zagidulin: Any other comments uh UI.
[2024-06-03T15:41:51.618Z]	<Transcriber>	Karen_Passmore: Well I think that we're prioritizing as you said the.
[2024-06-03T15:42:19.424Z]	<PL/T3>	@Deb - absolutely, and we're very interested in the repositories that are there like CE's. We're just getting to the point in the design where this on the near horizon ;-)
[2024-06-03T15:42:34.747Z]	<Transcriber>	Karen_Passmore: Ability for uh users to come here and create something and and own and protect their data as much as possible and I think along the lines you know it's a fine line right about how how far we go with that and then where these are experienced may get uh create might create friction right but we're not trying to solve I think it's fair to say we're not trying to solve every problem right now our goal is to get something out there that people can use to create uh a linked claim and then get their recommendations and as we go through this process I think we'll learn a lot especially as we get you know kind of do an initial release or somebody picks up the code and Builds an application with it that will help inform further iterations of the application.
[2024-06-03T15:42:40.859Z]	<Transcriber>	Dmitri_Zagidulin: Thanks over to you Phil.
[2024-06-03T15:42:46.042Z]	<Transcriber>	PL/T3: Yep okay so um if you can release your screen there so I can jump back in there we go.
[2024-06-03T15:42:53.366Z]	<Transcriber>	PL/T3: Now head back to link claims I actually think this is the point where we jump um.
[2024-06-03T15:43:10.018Z]	<Transcriber>	PL/T3: Not sick uh into um what the an idea of how the Json LD for doing hash links works and I'll bring this up briefly and let turn it to Demetri to go through it sorry there it is.
[2024-06-03T15:43:21.314Z]	<Transcriber>	Dmitri_Zagidulin: Oh sure yeah uh so.
[2024-06-03T15:43:28.551Z]	<Deb_Everhart_(Credential_Engine)>	@PL let us know whatever we can do to help!
[2024-06-03T15:43:30.344Z]	<Transcriber>	Dmitri_Zagidulin: Uh yeah this just these couple of slides just illustrate the mechanism of uh what 1 of the.
[2024-06-03T15:43:31.682Z]	<Transcriber>	Dmitri_Zagidulin: Like right so.
[2024-06-03T15:43:44.308Z]	<Transcriber>	Dmitri_Zagidulin: It is it is a pairing of a URL and a cryptographic hash as as I mentioned to Sharon earlier to lock down the particular version of an object.
[2024-06-03T15:43:47.856Z]	<Transcriber>	Dmitri_Zagidulin: Uh to to make it um tamper evident.
[2024-06-03T15:43:59.737Z]	<Transcriber>	PL/T3: Okay and this is an example of the same idea of in this case linking out to a random digital object in this case a journal a journal article that might be in the person's uh.
[2024-06-03T15:44:28.308Z]	<Transcriber>	PL/T3: Might be in a location that they have access to or their own personal repository of of Journal publications of their of their work so this might be the kind of thing that a recommender would do to give Credence to their ability to judge whatever this particular credential is about in this case it's about being able to to Pilot a UAV um and so they've written a paper on it and so this is a hashling to that paper.
[2024-06-03T15:44:33.030Z]	<Transcriber>	PL/T3: So moving right along so what's new here um.
[2024-06-03T15:44:35.937Z]	<Transcriber>	PL/T3: This is essentially um.
[2024-06-03T15:44:48.493Z]	<Transcriber>	PL/T3: Uh nothing terribly new in 1 cents we're taking advantage of the VC data model and the cryptographic of binding approaches including hash links which have been around for a while but not particularly well used.
[2024-06-03T15:45:09.994Z]	<Transcriber>	PL/T3: Um there are they do exist in true age credential they do exist in the true pick c2p implementations um which bind in their particular case and this uh images to the camera uh that uh that captured it um and generate a credential as a consequence.
[2024-06-03T15:45:19.979Z]	<Transcriber>	PL/T3: What is new is the introduction of hash links for the purposes of this kind of social recommendation and uh evidence uh pointers.
[2024-06-03T15:45:30.034Z]	<Transcriber>	PL/T3: Some in summary then we'll just say that link claims is an on-ramp for incorporating unsigned data into complex proofs claims.
[2024-06-03T15:45:34.965Z]	<Transcriber>	PL/T3: Uses this hash link mechanism as a Mech as a format for doing so.
[2024-06-03T15:45:44.463Z]	<Transcriber>	PL/T3: Tries to mirror the patterns of social recommendations and the like that uh that exists uh today that we've had for a long time.
[2024-06-03T15:46:01.771Z]	<Deb_Everhart_(Credential_Engine)>	for anyone who hasn't seen competencies in CTDL, this is an example of a DOL industry framework competency in CTDL https://credentialfinder.org/competency/ce-6aa26646-a955-4ccd-927d-468ac21f5df8
[2024-06-03T15:46:13.258Z]	<Deb_Everhart_(Credential_Engine)>	similar data available from ESCO
[2024-06-03T15:46:17.644Z]	<Transcriber>	PL/T3: The other thing I would say is that um it is specifically oriented towards those organiz those individuals that otherwise wouldn't be getting issued credentials from an educational institution training organization Etc and and and gives them a way to create credentials through an interface that they can then store into a digital wallet into a Google Drive uh etc for them to be able to participate in this ecosystem equally with with others.
[2024-06-03T15:46:49.554Z]	<Transcriber>	PL/T3: With that said there's a couple pieces of future work we're very interested in and we're doing some staging in the this link claims project 1 of which um is associated with connecting a mobile wallet to a wallet attached storage so that an individual has uh the opportunity to to manage and control the credentials that they have over a lifetime and not just continually have the only location for their storage being their mobile device.
[2024-06-03T15:47:13.017Z]	<Transcriber>	PL/T3: Functionalities that by doing that are enabled um 1 might be envisioned in this context author authorization on authentication to credentials in that storage that is available 24 by 7 um and allows access to specific things uh specific individuals or endpoints to look at and things of that sort.
[2024-06-03T15:47:21.965Z]	<Transcriber>	PL/T3: The second uh piece um is associated with another new type of credential which we're calling the narrative credential.
[2024-06-03T15:47:22.302Z]	<Transcriber>	PL/T3:  and in.
[2024-06-03T15:47:24.968Z]	<Transcriber>	PL/T3: Ways this is just um.
[2024-06-03T15:48:10.672Z]	<Transcriber>	PL/T3: Represent representing the storytelling part that is missing in resume in RSS and and VCS to you as represented by VCS to date and that is literally to tell a story as you would type a story with links in that particular text to the credentials that back up the claims that your story is making and so the simplest way to think about this is kind of a manifest to a a container where all of the different objects in the container are listed as links that can be followed to see what the credential is for that particular object in the container that's in the sort of generic sense in this case it allows you to tell a story.
[2024-06-03T15:48:21.003Z]	<Transcriber>	PL/T3: Think makes the collection of your skills relevant and meaningful to the relying party in terms of consideration for that opportunity.
[2024-06-03T15:48:23.962Z]	<Transcriber>	PL/T3: And do so by backing it up with data.
[2024-06-03T15:48:58.668Z]	<Transcriber>	PL/T3: And uh and so very excited about the possibility of doing that next and lastly the piece that we have sort of danced around um is the idea that the person writing this self issued credential doesn't have the uh aspect of um a an institution or an organization behind an issued credential to give it some degree of credence and and and um and sense of value from a human perspective.
[2024-06-03T15:49:06.958Z]	<Transcriber>	PL/T3: Credential issued by XYZ institution is a differently treated than perhaps a credential issued by Phil Long about myself.
[2024-06-03T15:49:16.983Z]	<Transcriber>	PL/T3: So the question is what do we do and how do we make sure that it will very least that the credential that I'm issuing about me is actually from me.
[2024-06-03T15:49:46.542Z]	<Transcriber>	PL/T3: And the first step in that is to make a a process that allows you to validate that and do the kyc which issuing institutions do by default when someone applies um to be a student there or in an employment context when someone applies to be a an employee at a censure or some place like that those individuals go through a kyc process and know your customer if you will process to make sure that they are who they say they are.
[2024-06-03T15:49:52.464Z]	<Transcriber>	PL/T3: In our case the idea for doing that here is with a notoriousedc.
[2024-06-03T15:49:53.063Z]	<Transcriber>	PL/T3:  and liter.
[2024-06-03T15:50:14.997Z]	<Transcriber>	PL/T3: Leveraging motorization services that exist and which almost every state in the US at least now permits in terms of a remote notary service to allow the individuals identifier in this case there did to be connected to a person and the notary is a new credential subject uh type.
[2024-06-03T15:50:15.251Z]	<Transcriber>	PL/T3:  that is.
[2024-06-03T15:50:21.467Z]	<Transcriber>	PL/T3: Bound 2 with link claims to the individuals credentials that is making their claim.
[2024-06-03T15:50:21.718Z]	<Transcriber>	PL/T3:  so that.
[2024-06-03T15:50:25.464Z]	<Transcriber>	PL/T3: The context of the notary as a future piece of work.
[2024-06-03T15:51:19.798Z]	<Transcriber>	PL/T3: Lastly there are lots of other places that this idea can can be applied to uh it can be applied to for example uh keeping track of the papers you should submit if you're an academic or you're writing you're a business person you want to have a repository of the things you published it can be used to do reputation reviews it can be used to as you saw in my reference to the c2p project it can be used to um put a credential around the origin of an image and the bonus the the data around its capture to try to um deal with uh the proliferation of of image manipulation that's out there it can be used to track Disaster Recovery funds to see whether or not they actually got distributed to the individuals that claim uh that they were claimed to be sent uh to to help them and others.
[2024-06-03T15:51:21.491Z]	<Transcriber>	PL/T3: So that's linked claims.
[2024-06-03T15:51:28.468Z]	<Transcriber>	PL/T3: And I'll stop there and we'll open it to any questions that people might have.
[2024-06-03T15:51:43.365Z]	<Ildiko_Mazar>	Could you share the slides, please?
[2024-06-03T15:52:26.461Z]	<Transcriber>	PL/T3: Have good question and title timely because uh I believe we have in fact been able to secure a small amount of funding for doing some usability research Karen would you give a brief uh summary of what your intentions are here just to do this.
[2024-06-03T15:52:26.960Z]	<Simone_Ravaioli>	https://docs.google.com/presentation/d/1b4iyZi2b2fZ-m65nJR36MUlha419LI898GsjHHZTfVc/edit?usp=sharing
[2024-06-03T15:52:42.940Z]	<Ildiko_Mazar>	Thank you, Simone.
[2024-06-03T15:52:42.973Z]	<Transcriber>	Karen_Passmore: Yes absolutely that I appreciate the question as well it's super important to me to do the not only usability research but also understand the people who would be creating this data and then the consumers of the data for right now what we're going to be focused on is.
[2024-06-03T15:52:45.297Z]	<PL/T3>	@Ildiko - yes -Simone beat me to it!
[2024-06-03T15:52:58.846Z]	<Simone_Ravaioli>	q?
[2024-06-03T15:53:14.781Z]	<PL/T3>	q-
[2024-06-03T15:53:44.602Z]	<Transcriber>	Karen_Passmore: Potential users of that application from the perspective of creating a linked claim and we're going to take the application that you just saw today and then approached anyone that we are able to recruit um for the amount of time that we have available we're looking at doing maybe a 6 week usability study have them walk through the application with us uh through some various scenarios and get their feedback on the accessibility usability um intuitiveness of the application so just making sure that we're actually creating something that people can use another part of that that we'd love to embark on is doing some deeper research and understanding when people might want to create a linked claim and then how they want to use it right so we're showing kind of a very limited subset of the possible use cases that fill displayed on 1 of the last slides there and we would love an opportunity to go deeper into that research and also understand um things from different perspectives so we have you know traditional Learners and non-traditional Learners and people who are maybe going to be creating.
[2024-06-03T15:53:45.402Z]	<Transcriber>	Karen_Passmore:  a linked claim who might.
[2024-06-03T15:53:45.676Z]	<Transcriber>	Karen_Passmore: Currently be employed for.
[2024-06-03T15:54:46.309Z]	<Transcriber>	Karen_Passmore: To somebody who isn't employed and just coming at it from um understanding those various perspectives would is important to us as well as looking at it from the notary perspective so when somebody is going to provide a recommendation to someone it's important to us to understand you know what they go through this process what kind of blockers might prevent them from making a recommendation because we we know some upfront friction is necessary to create a verified experience here or verified link claim but we don't want to go too far right so then beyond that we're also interested in understanding how companies might consume a linked claim because we understand that you know right now we're at the early stages of Designing this and we've had internal conversations about things like uh Phil mentioned earlier like taxonomies and ontologies and other systems that we could connect to but we also understand that it's important for us to look at the companies that might be consuming length claims and what systems um.
[2024-06-03T15:54:46.994Z]	<Transcriber>	Karen_Passmore:  they're using and how.
[2024-06-03T15:54:56.894Z]	<Transcriber>	Karen_Passmore: So there's just so much research here that we're excited about doing but we're we're definitely at the early early stages so it's focused on the usability of the current APP you saw today.
[2024-06-03T15:55:28.007Z]	<Transcriber>	PL/T3: Last comment on that um we have we didn't describe it here but we do have an interest in being able to present a view of credentials to an individual who does not have a credential wallet that is to selling party that does not have a credential wallet but could be viewing them uh via their browser and verifying them via their browser that does not mean that the credential is sent to them it just means that they are given a link to where a credential is temporarily stored to do that.
[2024-06-03T15:55:28.422Z]	<Transcriber>	PL/T3:  and then the.
[2024-06-03T15:55:45.777Z]	<Ildiko_Mazar>	Have you considered a use case for prior learning recognition?
[2024-06-03T15:56:15.585Z]	<Transcriber>	PL/T3: Sometimes if they wish to receive the actual data to put into their systems um how would we do that because of the challenges associated with establishing the current mechanisms and protocol exchange for credentials that small businesses are unlikely to be able to support and maintain themselves and we have some ideas about going about that process uh lastly I say the T3 has been generous and the funding is allowing us to put this application up when it's complete for probably at least a 3 to 6 month period for anybody to use and allow us to collect data potentially on its usage and allow others to try it out and find areas that we can improve or that they can improve because it will be open source.
[2024-06-03T15:56:32.251Z]	<Transcriber>	Dmitri_Zagidulin: Yeah to add a couple uh just a few more words to that uh as as as Phil mentioned uh it's going to be an open source app right it is it is already uh and it'll be that much more useful uh when it's finished so you you'll be able to take a look at it hosts your own.
[2024-06-03T15:56:36.727Z]	<Transcriber>	Dmitri_Zagidulin: In term will.
[2024-06-03T15:56:43.685Z]	<Transcriber>	Dmitri_Zagidulin: Will publish the uh credential schemas of of the credentials that were that were creating both the.
[2024-06-03T15:56:48.172Z]	<Transcriber>	Dmitri_Zagidulin: Uh recommendation ones and the lightweight uh.
[2024-06-03T15:56:51.186Z]	<Transcriber>	Dmitri_Zagidulin: Skill credential so.
[2024-06-03T15:57:01.698Z]	<Transcriber>	Dmitri_Zagidulin: And and we were definitely uh there's lots of exciting usability research especially as both Phil and Karen mentioned in the.
[2024-06-03T15:57:13.463Z]	<Transcriber>	Dmitri_Zagidulin: The receiving relying party end right if all this is successful and I get a self self asserted credential uh with recommendations with evidence all this good stuff.
[2024-06-03T15:57:43.899Z]	<Transcriber>	Dmitri_Zagidulin: And I sent it to my employer how will the employer consume it how will they display it how will they be able to verify it not having verify your software of their own and how do they uh work it into their uh existing workflow all of those things uh we're looking at so please uh please come talk to us to Convention have we considered a use case for prior learning recognition um so it's a 2 things 1 is I I think other projects are focusing on that a bit more right so the traditional uh learning recognition.
[2024-06-03T15:57:50.847Z]	<Transcriber>	Dmitri_Zagidulin: Credentials but uh the the other answer is the.
[2024-06-03T15:58:02.409Z]	<Transcriber>	Dmitri_Zagidulin: Self asserted uh learning and skill credentials that that we're doing in the app right now are flexible enough to recognize those as well uh but we'd love to talk to you more about it.
[2024-06-03T15:58:04.347Z]	<Transcriber>	Dmitri_Zagidulin: To see what you have in mind.
[2024-06-03T15:58:05.664Z]	<PL/T3>	ACE has a prior recognition for credit initiative. LC's could be adapted for that.
[2024-06-03T15:58:07.543Z]	<Transcriber>	Dmitri_Zagidulin: Any other question.
[2024-06-03T15:58:12.028Z]	<Transcriber>	PL/T3: Over to you Demetri.
[2024-06-03T15:58:18.457Z]	<Transcriber>	PL/T3: Oh excuse me over to you Simone.
[2024-06-03T15:58:19.002Z]	<Ildiko_Mazar>	:+1: Thanks @Dmitri.
[2024-06-03T15:58:20.737Z]	<Transcriber>	Dmitri_Zagidulin: Yeah uh any anyone else Simone okay yeah.
[2024-06-03T15:58:35.950Z]	<Deb_Everhart_(Credential_Engine)>	see ACE credit recommendations in CTDL https://credentialfinder.org/search?searchType=competencyframework
[2024-06-03T15:58:55.830Z]	<Deb_Everhart_(Credential_Engine)>	linked data is useful for connecting to other resources
[2024-06-03T15:59:23.453Z]	<Sharon_Leu>	Great work!
[2024-06-03T15:59:41.417Z]	<Deb_Everhart_(Credential_Engine)>	ditto, great work all, thank you!
[2024-06-03T15:59:43.702Z]	<Jeff_O_/_HumanOS>	Great Demo, thx!
[2024-06-03T16:00:00.336Z]	<Ildiko_Mazar>	Great work, great demo, thank you.
