[Tue 11:04:27] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Oct/0012.html
[Tue 12:46:33] <SunnyLee>	No disagreement.
[Tue 12:47:03] <m4nu>	Next up, Mark says: Louisa also recently applied for a job as a billing analyst at NewCo and she wants to share her transcript and some of her school projects with the interview team members to showcase her accounting, leadership and communication skills.
[Tue 12:47:06] <SunnyLee>	Transmission, pre auth, Access control use case
[Tue 12:47:09] <SunnyLee>	We got it covered.
[Tue 12:49:09] <SunnyLee>	Mark: It would be great if there was a mechanism to expose to a limited group access for a specified time, my personal container of docs or work products that I've created. Key here is that it's authorized by me, there's a defined time frame and it's authorized to a specific collection of individuals.
[Tue 12:50:14] <SunnyLee>	Dave: What we're standardizing will include all this. The specifis are out of scope.
[Tue 12:50:18] <SunnyLee>	Mark: See that and agree.
[Tue 12:51:08] <m4nu>	Topic: Online Transcript
[Tue 12:51:09] <m4nu>	Mark also says: Rather than send paper or physical copies via email, Louisa provides secure, limited access to her transcript and online portfolio to the college admissions department and to the NewCo HR department.
[Tue 12:51:36] <SunnyLee>	Manu: Again access control, transmission use case.
[Tue 12:51:50] <SunnyLee>	Manu: This this is covered.
[Tue 12:51:55] <SunnyLee>	Dave: No disagreement
[Tue 12:51:53] <m4nu>	Topic: Continuing Education
[Tue 12:52:15] <m4nu>	Mark says: Louisa got the job at NewCo and is doing very well, taking advantage of NewCo’s well-known professional development program by taking several “learn at lunch” courses and receiving continuing education units toward a certificate in accounting.
[Tue 12:53:15] <SunnyLee>	Manu: Believe this is covered by storage, base credential and verifiability use cases. Issuer is either the company doing the lunch courses or her company. They can dump that into identity provider.
[Tue 12:53:35] <SunnyLee>	Manu: Any disagreement that we don't already have this covered?
[Tue 12:53:38] <SunnyLee>	No disagreement.
[Tue 12:53:48] <m4nu>	Topic: University Credits
[Tue 12:54:03] <m4nu>	Mark said: In the fall, Louisa started at Achievement University and begins taking courses.  As Louisa finishes courses the credit is accumulatedon her AU transcript.
[Tue 12:54:42] <SunnyLee>	Manu: Question for Mark, is internal system issuing credential to Louisa internally?
[Tue 12:55:02] <SunnyLee>	Manu: Or they can issue wherever Louisa's identity provider. Is a credential actually being issued or not?
[Tue 12:55:13] <SunnyLee>	Mark: She hasn't earned her bachelor's degree yet.
[Tue 12:55:44] <SunnyLee>	Mark: Ed industry is going through a lot of change to competency based credits. Me as Louisa wants to ask my school for a copy of a transcript.
[Tue 12:56:33] <SunnyLee>	Mark: Maybe there are 2 or 3 of these that are related to a new job. Pursuing my degree. Here's some coursework related to those. A work in progress but still same motivation exists to be able to share. Below the degree level at this point.
[Tue 12:56:41] <SunnyLee>	Manu: Tech supports microcredentialing.
[Tue 12:57:03] <SunnyLee>	Manu: There's no limit to that. How is the org want to issue their credentials whether micro or macro.
[Tue 12:57:31] <SunnyLee>	Manu: Final use case
[Tue 12:57:40] <m4nu>	Topic: Bachelor's Degree
[Tue 12:58:38] <m4nu>	Mark said: When finally Louisa receives her bachelor’s degree, she has accumulated academic credentials at two accredited colleges and professional credits at her employer.    Her college and work experience have really complemented each other and now Louisa has the confidence to pursue her Certified Public Accountancy.   As part of Louisa’s application to the CPA program in Exemplar University’s School of International Business, she grants secure, 
[Tue 12:58:38] <m4nu>	limited access to her transcripts and portfolio at CCC, AU and NewCo to the Exemplar admissions officer for consideration.
[Tue 12:58:48] <SunnyLee>	Mark: This is where we're linking other credentials or simply collecting them into a container of credentials for the convience of the recipient. Here's my comm college transcript, here's my undergrad transcript, work products. Collecting everything as part of say application for grad school.
[Tue 12:59:10] <SunnyLee>	Manu: This is really about credential bundling?
[Tue 12:59:32] <SunnyLee>	Dave: We don't need to see it as credential bundling but rather a request for several different credentials.
[Tue 13:00:48] <m4nu>	Topic: Any other use cases?
[Tue 13:01:31] <SunnyLee>	Manu: There were 2 use cases that I added to doc based on US fed reserve comments.
[Tue 13:01:38] <m4nu>	http://opencreds.org/specs/source/use-cases/#endorsements
[Tue 13:01:41] <SunnyLee>	Manu: Those have to do with endorsements. The ability to endorse, countersign a credential and the ability to have multiple signatures. Chain of signatures that are not dependent on one another.
[Tue 13:02:16] <SunnyLee>	Manu: Composibility was another one Nate said he liked.
[Tue 13:02:31] <SunnyLee>	Manu: Are there any other use cases that should be in here that we may have missed? Sunny, are we covering what Badge Alliance needs out of these use cases?
[Tue 13:02:55] <m4nu>	SunnyLee: Yes, Badge Alliance use cases should be covered by what you have so far.
[Tue 13:03:03] <SunnyLee>	Dave: We can always add more as needed. We've got a pretty good chunk for upcoming meeting at TPAC.
[Tue 13:03:39] <SunnyLee>	Manu: With that we'll shove as much of these changes into the doc. We'll send out for review on mailing list. We'll have another call next week to make sure this contains everything. Will start voting after next week.
[Tue 13:03:44] <SunnyLee>	Manu: Anything else?
[Tue 13:03:44] <taaz>	Nope.
[Tue 13:03:58] <SunnyLee>	Manu: Thanks to everyone! We'll get this document prepped and ready for a vote next week.
[Tue 13:04:02] <voip-cr>	Dave Longley (SIP/6002-000000bc) has left the conference.
[Tue 13:04:02] <voip-cr>	Manu Sporny (SIP/6000-000000bb) has left the conference.
[Tue 13:04:02] <voip-cr>	Dave Lehn (SIP/6003-000000bd) has left the conference.
[Tue 13:04:04] <voip-cr>	Sunny (SIP/71.92.196.39:5060-000000ba) has left the conference.
