[2024-07-01T14:53:05.220Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Jun/0004.html
[2024-07-01T15:42:56.133Z]	<Transcriber>	Nate_Otto: I should gather them together into a collection and then share a collection as a URL um we do see a number of verifiable credentials compatible web wallets that are using the same type of pattern where it's a web service not a strictly a mobile uh device there is cloud-based storage for the credentials and you can upload them from various places in addition maybe some of these um web wallets will implement the open badges 3.0 API and and have sort of server to server connections where they can be a Dropbox for your credentials even when you're not present in the browser to click buttons and accept them uh and in that way it is entirely possible that a a credential wallet um that compatible with open badges 3.0 will function really similarly to how a um open badge is 1.0 uh backpack worked back in uh 2013 um there is a lot of open questions on like which protocols to deliver credentials to users will.
[2024-07-01T15:42:57.020Z]	<Transcriber>	Nate_Otto:  the implementation.
[2024-07-01T15:43:58.166Z]	<Transcriber>	Nate_Otto: Actually pick up and which uh backpacks hosts wallets whatever you want to call them um will become you know broadly usable um my my theory on this is and we can check back in another few years and see if I was right is that the way the consumption platforms are really what matters um when we have killer apps for verifying a credential that does something really valuable for the user because they had a credential that wouldn't have been possible if we didn't have a credential recognizing that thing um then whatever platforms are connected and able to help the user present their credentials uh into that killer app um verifier are going to be the ones that um become the most valuable and so whatever protocols make sense for those uh those wallets working backward to the issuer will be the ones that the issuers will most want to implement um open badges you know trees like in in some ways it tries to do all the things um before we picked up uh verifiable credentials compatibility with 3.0.
[2024-07-01T15:43:58.854Z]	<Transcriber>	Nate_Otto:  um open bad.
[2024-07-01T15:44:03.676Z]	<Transcriber>	Nate_Otto: You had to define something for every layer of the tech stack and that included.
[2024-07-01T15:44:38.356Z]	<Transcriber>	Nate_Otto: Protocol for delivering 2 backpacks and then from backpacks to verifiers uh it was covered you know all the verification layers and now we can Outsource some of those layers into specialist specs um at the w3c the credentials community group um Etc and so open badges can maybe focus on its real core value proposition which is on the data model itself on what it means to have an achievement um and the the trust model for you know what it means when many issuers are out there in the world recognizing many different achievements aligned to many different skills.
[2024-07-01T15:44:51.428Z]	<Transcriber>	Nate_Otto: They get did I get the fence that you were asking pretty well.
[2024-07-01T15:46:44.560Z]	<Transcriber>	Nate_Otto: Cool yeah I mean great questions and maybe uh very close to my heart because I I really think that verification and consumption you know using badges for something valuable is is really what's going to drive this Market um forward and so I can tell a little bit about my work um as well so uh I now have a small consultancy that my company skybridge skills uh that advises companies on how they might Implement in this space what the technical decisions custom code Etc um and also I am building an open source platform as part of my work called Orca um it's the open recognition Community app um right now it's in a fairly early stage uh we did hit a version 1.0 and made the open source release in December at the Epic conference in Vienna and we'll be uh you know trying out uh a conference based badge earning and peer recognition experience coming up at the badge Summit in August and then again at the um this year's edition of the Epic conference.
[2024-07-01T15:46:45.583Z]	<Transcriber>	Nate_Otto:  in October in.
[2024-07-01T15:46:46.172Z]	<Transcriber>	Nate_Otto: Or November in Paris.
[2024-07-01T15:46:52.167Z]	<Transcriber>	Nate_Otto: I think that it consumption is super important and.
[2024-07-01T15:46:52.434Z]	<Transcriber>	Nate_Otto:  so I.
[2024-07-01T15:47:08.724Z]	<Transcriber>	Nate_Otto: Didn't want to just build another issuing platform there's it's it's pretty easy to put credentials out there um thanks to a lot of the great open source low-level libraries produced by the verifiable credentials Community uh you know special shout out to digital Bazaar I'm using a lot of their libraries.
[2024-07-01T15:47:29.227Z]	<Transcriber>	Nate_Otto: Um but uh consumption is really where the energy is and so Orca is a platform that right now it can issue but I'm struggling to find time and implementing the verification side I'll have that in place by August um at the badge Summit and we can really um play around with this idea the idea is that there is a community that.
[2024-07-01T15:48:30.578Z]	<Transcriber>	Nate_Otto: Has a reason to be together anything from a local sports team whose primary interest is making sure people show up for the practices so that they have enough people uh who are ready to play at the pickup game on Tuesday um all the way up to say a department at a formal higher ed institution um but you know maybe like better for communities that are within that dunbar's number you know people who actually know each other um so this platform prioritizes self claiming workflows and peer endorsement workflows each achievement that is um defined within an orca Community can be associated with a set of governance rules about who can claim it who can invite others to claim it um and whether there's prerequisites whether this is a review requirement before whether you know a certain qualified user needs to review it before a claim becomes valid uh and it can be customized to the needs of the whatever Community is using it for whatever type of achievements matter to them um skills recognition is probably.
[2024-07-01T15:48:31.437Z]	<Transcriber>	Nate_Otto:  probably 1 of the key.
[2024-07-01T15:49:24.348Z]	<Transcriber>	Nate_Otto: And as part of orca's flow we want to make it so that if you have an achievement recognized in a badge from a different Community or some other issuer that you can bring it in and use it as evidence to apply for an achievement that is valued locally so imagine there is a um software development company 50 employees and they have a number of skills that they care about for their team covering the the tech stack that they work on you need to know a few languages you need to know some deployment and build tools you need to have uh experience with the QA methodologies and project management methodologies that are used and then you need to have a whole range of uh you know transferable skills 21st century skills um durable skills however you you define those within your community.
[2024-07-01T15:49:47.238Z]	<Transcriber>	Nate_Otto: Um if you've got some of these hard skills or soft skills from elsewhere that are recognized in a credential bring it in um but it might be named something else if it came from somewhere else it's not directly transferable but the local community has an interest in understanding what is it that you know as it applies to our local understanding and naming of these Concepts.
[2024-07-01T15:49:48.429Z]	<Transcriber>	Nate_Otto: Is you can.
[2024-07-01T15:50:49.139Z]	<Transcriber>	Nate_Otto: Drop in the badges you already have um onto the badges that you want and then that will allow you to create a claim for those badges that you want which will then be reviewed through the appropriate governance mechanisms of that community and so I I hope that through this particular open-source um implementation of verification we can really explore a lot of the concepts of how do we transfer meaning between different communities uh on open badges In This Very decentralized ecosystem there's many different achievements out there that might represent almost the same thing there's many different issuers most of which you've never heard of before um how do we navigate the trust landscape and use these achievements as evidence to turn into some kind of real actionable local understanding within the communities that you participate in and uh care about so open source software Orca produced by skybridge skills come try it out at the badge Summit um and.
[2024-07-01T15:50:49.731Z]	<Transcriber>	Nate_Otto:  see if.
[2024-07-01T15:50:57.885Z]	<Transcriber>	Nate_Otto: Give me your opinions and and takes on what um verification stories really matter to you.
[2024-07-01T15:51:03.447Z]	<Michal_Jarmolkowicz>	Is there a concept of reputation of a community in ORCA?
[2024-07-01T15:51:51.814Z]	<Transcriber>	Nate_Otto: Can I um yeah can I get Mel's question um Mel in the chat asks is there a concept of reputation of a community in Orca and you know a community in this case think of it as any credential issuer at all so is there a concept of the reputation of a credential issuer we are trying to maybe build that concept together as a community uh we're trying to build it in ways that are appropriately flexible and Equitable but simple and powerful enough to actually use and we need services that help us do that and so there are some missing pieces in this ecosystem and particularly the the trust model of credentials.
[2024-07-01T15:51:55.618Z]	<Transcriber>	Nate_Otto: I think open badges is at at 1.
[2024-07-01T15:52:17.150Z]	<Transcriber>	Nate_Otto: Point it's both a easy case and a hard case for thinking about um reputation of issuers and Trust of credentials and I think it's a really great ground for us to try out some of the trickiest problems and to force us to build the services that really matter the most um essentially we need to be able to decide.
[2024-07-01T15:52:28.130Z]	<Transcriber>	Nate_Otto: Is this credential that I'm being presented today reputable and I want to be able to access information about its issuer um and.
[2024-07-01T15:52:28.499Z]	<Transcriber>	Nate_Otto:  look at the.
[2024-07-01T15:52:36.631Z]	<Transcriber>	Nate_Otto: Of the credential itself ensure that the issuer actually is the organization that it says it is which is itself quite a large problem.
[2024-07-01T15:53:17.268Z]	<Transcriber>	Nate_Otto: What are the data sources that could help you answer some of those questions certainly we have the data in the credential itself we can see the the names of the skills that it is aligned to Etc but if we can't answer whether the issuer is actually the organization that it says it is is this Kalamazoo University or is this uh you know a fake issuer just saying that their Kalamazoo University um then we wouldn't really be able to get very far on this question of of issuer reputation and trust and so um I am looking to help uh Implement and build and cooperate with others in the space around.
[2024-07-01T15:53:17.914Z]	<Transcriber>	Nate_Otto:  how we answer.
[2024-07-01T15:53:19.474Z]	<Transcriber>	Nate_Otto: I have a predict.
[2024-07-01T15:53:24.106Z]	<Transcriber>	Nate_Otto: Angle that I'm going to take with with Orca and Sky Bridge skills which is.
[2024-07-01T15:53:52.136Z]	<Transcriber>	Nate_Otto: To think of reputation as something that we need to have information about very quickly that's actionable that we can um you know have at our fingertips on demand about the whatever arbitrary issuer we're asking about but also it's it's something that needs to develop and grow or organically through the actions of the users in um the ecosystem and so what I mean by that is that.
[2024-07-01T15:54:12.801Z]	<PL/T3>	This is quite analogous (verification stories)  to the perosnal identity reputation signals that we'll hear more about tomorrow with meronymous communication within a particular community - in this case academic researchers and students in a particular discipline.

Tuesday at noon EDT July 2: 
https://meet.w3c-ccg.org/weekly
[2024-07-01T15:54:29.813Z]	<Transcriber>	Nate_Otto: Review of accreditation of Institutions does not scale quickly to the hundreds of thousands of issuers that were actually going to see out there in in the open badges World especially if you know there's open source software like Orca or anyone can just pick it up either run as a hosted um uh service from a service provider like skybridge skills or um as open source software that they host themselves they could just become an issuer and how do they organically like merge into a world in which um accreditation exists and we need to have all these trusts questions answered so I think that we need to find ways for.
[2024-07-01T15:54:38.645Z]	<Transcriber>	Nate_Otto: To mediate issuer trust by making that information available immediately on demand but also be collected.
[2024-07-01T15:55:10.777Z]	<Transcriber>	Nate_Otto: In the background consensually um every time that uh credential is accepted by another organization there should be a place to be able to report back a little bit about the reputation information that you have created through the process of evaluating and accepting that credential and so I'm interested in building um trust registry services and collaborating with that and protocols such as the um verifiable issuers and verifiers list um protocol to extend that and.
[2024-07-01T15:55:16.111Z]	<Transcriber>	Nate_Otto: Be able to have 2 directional information flow about reputation of issues and communities.
[2024-07-01T15:55:22.398Z]	<Michal_Jarmolkowicz>	Great, thx
[2024-07-01T15:55:22.843Z]	<Transcriber>	Nate_Otto: Might have been a little bit more of a deep dive uh M but how did that go for you.
[2024-07-01T15:55:59.550Z]	<PL/T3>	@Nate - do you think people will be willing to spend the time and energy giving this feedback you're suggesting for a trust registry?
[2024-07-01T15:56:15.584Z]	<Simone_Ravaioli>	Michal did you want to intervene ?
[2024-07-01T15:56:17.242Z]	<Transcriber>	Nate_Otto: That's a great question I mean I think bring your use cases feel free to suggest um issues on the open badges specification repo within the 1 Ed Tech um GitHub organization um I think that we'll see some extension of additional optional metadata that you can put in there but the really key important pieces for open badges maybe around some of these trusts questions um so we may see some approaches that are trial by um folks out here in the implementation land um.
[2024-07-01T15:56:43.505Z]	<PL/T3>	Just repeat it briefly yourself @simone - little time left
[2024-07-01T15:57:19.851Z]	<Transcriber>	Nate_Otto: We may see those elevated up into the spec uh to be able to answer some of those key questions we'll also likely see additional uh did methods and proof um crypto Suites and formats kind of blessed um by the the work group um 1 other element that I didn't mention yet in today's call is that 1 a tech offers certification for platforms um from paying members who um pass their certification suite and you need to choose 1 of the the methods uh for all the different layers of the text act supported by the certification platform so it's likely that the the types of methods supported by the certification platforms will grow as part of a little 3.1 releases but what we have for 3.0 is a huge change from uh 2.0 um especially with compatibility with verifiable credentials and we have you know a decade of exploration of the awesome potential that this um release has created there's not a huge need for you know burning use cases that are.
[2024-07-01T15:57:21.544Z]	<Transcriber>	Nate_Otto:  not yet covered by this I think um.
[2024-07-01T15:57:21.853Z]	<Transcriber>	Nate_Otto: The most important work that we have in the coming.
[2024-07-01T15:57:22.931Z]	<Sharon_Leu>	Are 1EdTech members going to start implementing 3.0 before we even start the 3.1 conversation?
[2024-07-01T15:57:29.161Z]	<Transcriber>	Nate_Otto: Years is implementation work and to my eye especially implementation work on the verifying and consumption side.
[2024-07-01T15:57:47.263Z]	<Nate_Otto>	Yes, Sharon, implementation first, I doubt there will be a 3.1 charter even proposed for 18 months with possible scope.
[2024-07-01T15:58:19.431Z]	<Transcriber>	Nate_Otto: Uh yep absolutely um so we don't have much time uh on left on this call but I recommend going to the open badges specification itself there is a certification guide linked from the specification um and so I recommend taking a look at that there is a.
[2024-07-01T15:58:26.935Z]	<Sharon_Leu>	Certification is only for conformance, though, right?
[2024-07-01T15:58:40.123Z]	<Simone_Ravaioli>	https://www.imsglobal.org/spec/ob/v3p0/impl/
[2024-07-01T15:59:20.465Z]	<Transcriber>	Nate_Otto: A certification test suite and you basically go to a website and then plug in some information upload some credentials and it will in an automated way test whether your platform is conformant um there is an open source version of that software published on 1 of text GitHub um organization and in Java and uh I certification is open only to paying members but you could download the Open Source public verifier and like check to see if your platform um meets it but then the result of certification is that your platform is published on the 1 Ed Tech what they call the trusted apps directory um where other um where where our customers can hopefully find you and purchase your uh Your solution um as far as finalization of the spec there is a um certification requirement before the spec goes final and open badges met that hurdle uh in quarter 2 um which then opened it up for the final vote and now open badges 3.0 is final final um CLR 2.
[2024-07-01T15:59:33.848Z]	<Sharon_Leu>	canivc.com works too
[2024-07-01T15:59:38.996Z]	<Transcriber>	Nate_Otto: Which has a common data model to open badges 3.0 is not yet final just because they're waiting on the last uh certification so if you're in a certified if you're uh ready to certify in a verifying consuming role for CLR you can help that spec get over that last hurdle by implementing passing the certification Suite.
[2024-07-01T15:59:59.602Z]	<Deb_Everhart_(Credential_Engine)>	thank you so much all!
[2024-07-01T16:00:20.166Z]	<Naomi>	:clap:
[2024-07-01T16:00:26.408Z]	<Sharon_Leu>	Thanks
[2024-07-01T16:00:38.453Z]	<Transcriber>	Nate_Otto: Thank you and every.

